ID; TimeStamp; RCQoE;
0;95863713873;0;
1;95863813851;0;
2;95863905498;0;
3;95864013808;0;
4;95864113786;0;
5;95864213764;0;
6;95864313742;0;
7;95864413721;0;
8;95864513699;0;
9;95864613677;0;
10;95864713656;0;
11;95864813634;0;
12;95864913612;0;
13;95865005259;0;
14;95865088574;0;
15;95865188553;0;
16;95865296862;0;
17;95865388509;0;
18;95865496819;0;
19;95865596797;0;
20;95865688444;0;
21;95865788422;0;
22;95865896732;0;
23;95865996711;0;
24;95866088357;0;
25;95866188336;0;
26;95866296645;0;
27;95866379961;0.0001075268;
28;95866488270;0.004337758;
29;95866579917;0.1843182;
30;95866688227;0.3376283;
31;95866804868;0.4385459;
32;95866904847;0.5437909;
33;95867004825;0.6110108;
34;95867088140;0.6736379;
35;95867188119;0.7229294;
36;95867288097;0.7688475;
37;95867388075;0.7974725;
38;95867488053;0.8131935;
39;95867588032;0.8383878;
40;95867696342;0.843929;
41;95867779657;0.8491333;
42;95867887967;0.862691;
43;95867987945;0.870587;
44;95868087923;0.8728196;
45;95868187902;0.8736912;
46;95868287880;0.8741295;
47;95868387858;0.8748721;
48;95868487836;0.874274;
49;95868587815;0.8739867;
50;95868687793;0.8736285;
51;95868796103;0.8736063;
52;95868887750;0.8719114;
53;95868987728;0.8706564;
54;95869087706;0.8704913;
55;95869196016;0.8707604;
56;95869279331;0.8710772;
57;95869387641;0.8714857;
58;95869487619;0.8713878;
59;95869587598;0.8710814;
60;95869687576;0.8713774;
61;95869787554;0.8732333;
62;95869895864;0.875487;
63;95869995843;0.8737071;
64;95870095821;0.873226;
65;95870195799;0.8721176;
66;95870287446;0.8708426;
67;95870395756;0.8699447;
68;95870487402;0.8702731;
69;95870587381;0.8701402;
70;95870695691;0.8698877;
71;95870795669;0.8695238;
72;95870887316;0.8692152;
73;95870995626;0.8692998;
74;95871095604;0.8685955;
75;95871187251;0.8676606;
76;95871287229;0.8677557;
77;95871378876;0.8690503;
78;95871487185;0.8712831;
79;95871587164;0.8711972;
80;95871687142;0.8708382;
81;95871787120;0.8694087;
82;95871887099;0.8688587;
83;95871987077;0.8691761;
84;95872087055;0.869437;
85;95872195365;0.8691951;
86;95872295343;0.869023;
87;95872386990;0.8695284;
88;95872486968;0.8710043;
89;95872586947;0.8714963;
90;95872678594;0.8706985;
91;95872795235;0.8695109;
92;95872886882;0.8694016;
93;95872986860;0.8698372;
94;95873095170;0.8698618;
95;95873195148;0.8698225;
96;95873286795;0.8691943;
97;95873386773;0.8684284;
98;95873503415;0.8686844;
99;95873595061;0.8682521;
100;95873686708;0.8679528;
101;95873803349;0.8682038;
102;95873903328;0.8685192;
103;95874003306;0.8694593;
104;95874094953;0.8720605;
105;95874194931;0.8724469;
106;95874294909;0.8707752;
107;95874386556;0.8693664;
108;95874494866;0.8682816;
109;95874603176;0.8670512;
110;95874703154;0.8658907;
111;95874786469;0.8656389;
112;95874911442;0.8655917;
