ID; TimeStamp; RCQoE;
0;91323029648;0;
1;91324204394;0;
2;91324304372;0;
3;91324404350;0;
4;91324504328;0;
5;91324612638;0;
6;91324704285;0;
7;91324804263;0;
8;91324904242;0;
9;91325004220;0;
10;91325104198;0;
11;91325204177;0;
12;91325304055;0;
13;91325395552;0;
14;91325487373;0;
15;91325587377;0;
16;91325695686;0;
17;91325795690;0;
18;91325895668;0;
19;91325987315;0;
20;91326078912;0;
21;91326187196;0;
22;91326278868;0;
23;91326379022;0;
24;91326478975;0;
25;91326587060;0;
26;91326670200;0;
27;91326786841;0;
28;91326878488;0.4094449;
29;91326978466;0.4130503;
30;91327070113;0.4199903;
31;91327186754;0.4710162;
32;91327278401;0.4896462;
33;91327378380;0.541719;
34;91327478358;0.5486587;
35;91327578336;0.5497239;
36;91327678314;0.5505592;
37;91327778293;0.5509759;
38;91327886603;0.5510517;
39;91327978249;0.5511934;
40;91328078228;0.5506107;
41;91328178206;0.5505219;
42;91328303179;0.5509095;
43;91328378163;0.5512362;
44;91328503135;0.5527052;
45;91328578119;0.556636;
46;91328694785;0.5537944;
47;91328794814;0.5520149;
48;91328903149;0.5511127;
49;91328994795;0.5443651;
50;91329086442;0.4078029;
51;91329186420;0.3857628;
52;91329278067;0.3778088;
53;91329394709;0.3101534;
54;91329486355;0.3002931;
55;91329578002;0.3015235;
56;91329686312;0.3025787;
57;91329786290;0.302832;
58;91329886269;0.3028595;
59;91329977915;0.3025436;
60;91330086225;0.3023322;
61;91330194585;0.3020393;
62;91330286232;0.3013558;
63;91330394542;0.3016067;
64;91330502901;0.3020946;
65;91330594548;0.3022682;
66;91330694526;0.3025622;
67;91330794505;0.3025848;
68;91330886152;0.3027805;
69;91330994336;0.3026008;
70;91331085983;0.3073226;
71;91331194293;0.3063902;
72;91331294271;0.3040157;
73;91331385918;0.3028854;
74;91331485946;0.3026821;
75;91331585925;0.3029203;
76;91331677571;0.3031786;
77;91331785881;0.3036581;
78;91331885935;0.3040088;
79;91331985913;0.3041487;
80;91332085891;0.3043047;
81;91332185869;0.3056625;
82;91332285898;0.3059183;
83;91332394208;0.3056692;
84;91332485854;0.3055938;
85;91332585858;0.3066368;
86;91332694167;0.3067065;
87;91332785839;0.3066317;
88;91332885818;0.3063529;
89;91332985796;0.3072151;
90;91333085774;0.3071501;
91;91333194134;0.3081281;
92;91333294112;0.3066831;
93;91333385759;0.2883925;
94;91333485712;0.1902113;
95;91333594022;0.1855373;
96;91333685669;0.1866358;
97;91333785647;0.1852615;
98;91333885626;0.1839035;
99;91333985604;0.1831201;
100;91334085582;0.1835095;
101;91334185560;0.1839981;
102;91334285539;0.1839007;
103;91334393849;0.1831896;
104;91334485495;0.1826877;
105;91334585474;0.1831556;
106;91334677120;0.1833133;
107;91334793762;0.1832324;
108;91334885409;0.1858815;
109;91334985387;0.1869133;
110;91335077034;0.1850467;
111;91335185343;0.1842629;
112;91335285322;0.1837894;
113;91335385300;0.1830256;
114;91335476947;0.1821688;
115;91335585257;0.1811902;
116;91335685235;0.1809111;
