ID; TimeStamp; RCQoE;
0;424801182699;0;
1;424801282677;0;
2;424801382655;0;
3;424801482634;0;
4;424801574280;0;
5;424801674259;0;
6;424801774237;0;
7;424801874215;0;
8;424801974193;0;
9;424802074172;0;
10;424802174150;0;
11;424802274128;0;
12;424802382438;0;
13;424802465753;0;
14;424802557400;0;
15;424802657379;0;
16;424802765688;0;
17;424802857335;0;
18;424802957313;0;
19;424803057292;0;
20;424803157270;0;
21;424803257248;0;
22;424803357227;0;
23;424803465536;0;
24;424803557183;0;
25;424803632167;0;
26;424803757140;0;
27;424803857118;0;
28;424803940433;0;
29;424804057075;0;
30;424804140390;0;
31;424804257081;0;
32;424804357060;0;
33;424804457038;0;
34;424804557016;0;
35;424804656995;0;
36;424804756973;0;
37;424804856951;0;
38;424804948598;0.005967081;
39;424805056908;0.005236;
40;424805156886;0.161156;
41;424805265196;0.345129;
42;424805356843;0.4750374;
43;424805456821;0.5329762;
44;424805556799;0.5466639;
45;424805656778;0.5461435;
46;424805756756;0.5450509;
47;424805856734;0.5442766;
48;424805948381;0.5437056;
49;424806056691;0.5453547;
50;424806165001;0.5490109;
51;424806256647;0.5450363;
52;424806356626;0.5441834;
53;424806456604;0.5422822;
54;424806556582;0.541373;
55;424806656561;0.5412332;
56;424806756539;0.5406861;
57;424806856517;0.5398806;
58;424806948164;0.5395645;
59;424807064805;0.5404891;
60;424807148121;0.5400038;
61;424807248099;0.5394705;
62;424807339746;0.5392696;
63;424807464718;0.5411866;
64;424807564697;0.5447906;
65;424807648012;0.5492966;
66;424807764653;0.5482675;
67;424807856300;0.5478361;
68;424807939615;0.5454889;
69;424808064588;0.5429072;
70;424808156235;0.5424122;
71;424808239550;0.5428913;
72;424808347860;0.5430355;
73;424808456170;0.5416487;
74;424808556148;0.5402023;
75;424808639463;0.538963;
76;424808747773;0.5374829;
77;424808856083;0.5362681;
78;424808947730;0.5356467;
79;424809047708;0.5370435;
80;424809139355;0.534029;
81;424809264328;0.5325797;
82;424809347643;0.5326258;
83;424809455953;0.5330472;
84;424809564263;0.5335905;
85;424809664241;0.5332875;
86;424809755888;0.5353519;
87;424809855866;0.5373054;
88;424809955844;0.5364057;
89;424810055823;0.5350658;
90;424810147470;0.5365666;
91;424810264111;0.5604828;
92;424810372421;0.5660916;
93;424810455736;0.570458;
94;424810564046;0.5740221;
95;424810672356;0.5761194;
96;424810764002;0.5822846;
97;424810855649;0.5864915;
98;424810963959;0.5881024;
99;424811063937;0.5883644;
100;424811163916;0.5896146;
101;424811263894;0.5909636;
102;424811363872;0.6046264;
103;424811463850;0.6485725;
104;424811547166;0.6517797;
105;424811663807;0.6527854;
106;424811763735;0.6530156;
107;424811871995;0.6527224;
108;424811963642;0.6523454;
109;424812063620;0.6539724;
110;424812163599;0.6537781;
111;424812263577;0.6527869;
112;424812371887;0.6529157;
113;424812463533;0.6563619;
114;424812563512;0.6539525;
115;424812663490;0.6527269;
116;424812763468;0.6516738;
117;424812863447;0.6494019;
