ID; TimeStamp; RCQoE;
0;586102594339;0.501516;
1;586102694317;0.5019542;
2;586102794296;0.5040941;
3;586102894274;0.5022431;
4;586102994252;0.5007202;
5;586103102562;0.499922;
6;586103202540;0.4999398;
7;586103294187;0.499403;
8;586103402497;0.4996954;
9;586103502475;0.4994389;
10;586103602453;0.5004146;
11;586103702432;0.5012874;
12;586103802410;0.5013548;
13;586103894057;0.5010244;
14;586103985729;0.5005782;
15;586104077375;0.5000746;
16;586104177354;0.4996223;
17;586104269000;0.500892;
18;586104377310;0.5002344;
19;586104468957;0.4995974;
20;586104577267;0.4996479;
21;586104668914;0.499765;
22;586104768892;0.4996349;
23;586104877202;0.4998873;
24;586104977180;0.4998729;
25;586105077183;0.4996589;
26;586105185493;0.499801;
27;586105277140;0.499885;
28;586105377118;0.4998599;
29;586105477097;0.4995863;
30;586105577075;0.4996245;
31;586105677053;0.5002956;
32;586105777031;0.500407;
33;586105877010;0.500196;
34;586105976988;0.4998986;
35;586106076966;0.4995903;
36;586106168613;0.4999076;
37;586106285255;0.5009065;
38;586106368570;0.5027453;
39;586106476880;0.501837;
40;586106576858;0.5015443;
41;586106676836;0.5005496;
42;586106776815;0.5003336;
43;586106876793;0.5017876;
44;586106976771;0.500554;
45;586107076599;0.5008677;
46;586107184909;0.5015101;
47;586107284888;0.5009567;
48;586107376534;0.5000349;
49;586107468181;0.49915;
50;586107576566;0.4983334;
51;586107676544;0.4982957;
52;586107768191;0.4983299;
53;586107884882;0.4985663;
54;586107984861;0.4986158;
55;586108076507;0.4994305;
56;586108176486;0.500715;
57;586108268132;0.4999655;
58;586108376442;0.4991316;
59;586108484777;0.4988438;
60;586108576424;0.4981422;
61;586108676402;0.499046;
62;586108776381;0.5030659;
63;586108876359;0.5010142;
64;586108976337;0.4997678;
65;586109076315;0.4986333;
66;586109167962;0.4959813;
67;586109284604;0.4688039;
68;586109376250;0.4039163;
69;586109476229;0.3984983;
70;586109576207;0.3942742;
71;586109676185;0.3706236;
72;586109776163;0.3200228;
73;586109876142;0.3169572;
74;586109976120;0.3164819;
75;586110076098;0.3156059;
76;586110176077;0.3140198;
77;586110275930;0.3132472;
78;586110375908;0.312897;
79;586110475887;0.3124624;
80;586110575865;0.3128697;
81;586110659180;0.3147757;
82;586110767490;0.3141565;
83;586110875800;0.315316;
84;586110967447;0.3139146;
85;586111075756;0.3135396;
86;586111175735;0.3131937;
87;586111267381;0.3119642;
88;586111375691;0.3127158;
89;586111475670;0.3137469;
90;586111583979;0.3157701;
91;586111675626;0.3165528;
92;586111775604;0.3148263;
93;586111875583;0.3128332;
94;586111983893;0.312846;
95;586112075539;0.3137068;
96;586112175518;0.3127607;
97;586112275496;0.3136285;
98;586112358836;0.3154883;
99;586112467146;0.3197373;
100;586112583812;0.3258584;
101;586112667128;0.3170494;
102;586112775438;0.3153058;
103;586112867084;0.3142752;
104;586112975394;0.3139183;
105;586113075372;0.3139818;
106;586113175351;0.3173772;
107;586113275329;0.4096468;
108;586113366976;0.4184609;
109;586113475286;0.4220808;
110;586113575264;0.4219533;
111;586113666936;0.4217632;
112;586113783552;0.4210091;
113;586113883505;0.4206607;
114;586113983484;0.4209005;
115;586114083412;0.4207933;
116;586114183415;0.4204193;
