ID; TimeStamp; RCQoE;
0;11666134006;0.3044425;
1;11667300420;0.3044536;
2;11667400398;0.3061343;
3;11667500376;0.3043113;
4;11667600355;0.3078729;
5;11667708664;0.3098622;
6;11667808643;0.3097224;
7;11667908621;0.3075169;
8;11668008599;0.3063323;
9;11668108578;0.3053727;
10;11668208556;0.304871;
11;11668308534;0.3045339;
12;11668408512;0.3048549;
13;11668483496;0.3040323;
14;11668591806;0.3041916;
15;11668691784;0.3049083;
16;11668783431;0.3046824;
17;11668883409;0.305051;
18;11668991719;0.3059869;
19;11669091697;0.3068912;
20;11669183369;0.3094609;
21;11669283348;0.3087432;
22;11669391657;0.3089047;
23;11669491636;0.3068217;
24;11669583282;0.3057541;
25;11669699924;0.30659;
26;11669783239;0.3062776;
27;11669883217;0.306166;
28;11669983196;0.3061637;
29;11670083174;0.3048271;
30;11670183152;0.3044021;
31;11670283131;0.3048115;
32;11670391440;0.3040352;
33;11670491419;0.3039874;
34;11670583065;0.3043886;
35;11670683044;0.3097966;
36;11670783022;0.3090488;
37;11670883000;0.3064368;
38;11670982979;0.305697;
39;11671091288;0.3059907;
40;11671191267;0.3066404;
41;11671291245;0.3078788;
42;11671374560;0.30758;
43;11671491202;0.3068112;
44;11671574517;0.3068188;
45;11671699490;0.3083922;
46;11671799468;0.3096225;
47;11671899446;0.3088431;
48;11671982762;0.3081806;
49;11672091071;0.3072944;
50;11672182718;0.3106204;
51;11672282697;0.308682;
52;11672391006;0.306986;
53;11672482653;0.3068154;
54;11672582631;0.3083926;
55;11672690941;0.3080398;
56;11672782588;0.3070277;
57;11672882566;0.3060762;
58;11672982545;0.3058856;
59;11673065910;0.3065023;
60;11673190883;0.3082285;
61;11673282480;0.308142;
62;11673390714;0.3081143;
63;11673482361;0.3070288;
64;11673582339;0.3064635;
65;11673682318;0.3075584;
66;11673782296;0.3092305;
67;11673882274;0.3077509;
68;11673982253;0.3067227;
69;11674082231;0.3069153;
70;11674190541;0.3082892;
71;11674290519;0.3073964;
72;11674382166;0.3065251;
73;11674482144;0.3062149;
74;11674582122;0.3060431;
75;11674673769;0.3057272;
76;11674782079;0.3062947;
77;11674890389;0.3065584;
78;11674982061;0.3061792;
79;11675098702;0.3056261;
80;11675190349;0.3050731;
81;11675290327;0.3060769;
82;11675381974;0.3053254;
83;11675490284;0.3052168;
84;11675581930;0.305056;
85;11675681909;0.266188;
86;11675781887;0.1477378;
87;11675890197;0.1398646;
88;11675981844;0.1390865;
89;11676073490;0.1387464;
90;11676181800;0.1397624;
91;11676281779;0.1415567;
92;11676381757;0.142613;
93;11676490067;0.1425831;
94;11676581713;0.1422674;
95;11676690023;0.1445931;
96;11676773339;0.149143;
97;11676881648;0.1718683;
98;11676981627;0.1848266;
99;11677081605;0.196447;
100;11677181583;0.2044186;
101;11677289893;0.2093601;
102;11677381540;0.2522871;
103;11677481518;0.2679826;
104;11677581496;0.2695793;
105;11677681475;0.2702866;
106;11677781453;0.2704441;
107;11677889763;0.2699214;
108;11677973078;0.2697923;
109;11678081388;0.2695907;
110;11678173035;0.2699928;
111;11678281345;0.2737743;
112;11678381323;0.2735889;
113;11678489633;0.2709737;
114;11678581279;0.269771;
115;11678681258;0.2685587;
116;11678781236;0.2676802;
