ID; TimeStamp; RCQoE;
0;929972615125;0;
1;929972723434;0;
2;929972815081;0;
3;929972915059;0;
4;929973015038;0;
5;929973123348;0;
6;929973223326;0;
7;929973323304;0;
8;929973423282;0;
9;929973523261;0;
10;929973623239;0;
11;929973723217;0;
12;929973823196;0;
13;929973923174;0;
14;929974014821;0;
15;929974089804;0;
16;929974189783;0;
17;929974281430;0;
18;929974398071;0;
19;929974506381;0;
20;929974598027;0;
21;929974698006;0;
22;929974814647;0;
23;929974897962;0;
24;929975014604;0;
25;929975097919;0;
26;929975197897;0;
27;929975306132;0;
28;929975397779;0;
29;929975497757;0;
30;929975614399;0;
31;929975706045;0;
32;929975806024;0;
33;929975906002;0;
34;929976005980;0;
35;929976097627;0;
36;929976214268;0;
37;929976289252;0.00150159;
38;929976397562;0.002178371;
39;929976497540;0.002467692;
40;929976597518;0.003734708;
41;929976697497;0.020702;
42;929976797475;0.03527135;
43;929976905785;0.03959718;
44;929976997432;0.04945764;
45;929977105742;0.06215903;
46;929977214051;0.07930484;
47;929977297367;0.08818695;
48;929977405676;0.1214073;
49;929977497323;0.1485768;
50;929977605633;0.194151;
51;929977697280;0.3267508;
52;929977797258;0.4635318;
53;929977897236;0.5083918;
54;929977988883;0.5291367;
55;929978105525;0.5359992;
56;929978197171;0.5210418;
57;929978313813;0.4947517;
58;929978397128;0.4849251;
59;929978488775;0.4740837;
60;929978597084;0.4665713;
61;929978688731;0.4642742;
62;929978797041;0.4609846;
63;929978897019;0.4555027;
64;929978996998;0.4524485;
65;929979096976;0.4517907;
66;929979196954;0.4513629;
67;929979296933;0.4509273;
68;929979396911;0.4502031;
69;929979496889;0.4495245;
70;929979596867;0.4495507;
71;929979696846;0.4497789;
72;929979796824;0.4544455;
73;929979896802;0.4686706;
74;929980005112;0.5070531;
75;929980088427;0.535303;
76;929980188406;0.5425597;
77;929980296716;0.5441766;
78;929980396694;0.5455897;
79;929980496672;0.5461896;
80;929980596650;0.5465292;
81;929980696629;0.5473176;
82;929980804939;0.5475064;
83;929980896585;0.5583532;
84;929980996564;0.6579618;
85;929981096542;0.6833596;
86;929981196520;0.6882238;
87;929981296499;0.689714;
88;929981396477;0.6842745;
89;929981496455;0.6714052;
90;929981596433;0.654014;
91;929981704743;0.6494927;
92;929981796390;0.6461118;
93;929981896368;0.6429485;
94;929981996347;0.6389693;
95;929982087993;0.6358194;
96;929982196303;0.6335512;
97;929982296282;0.6320986;
98;929982387928;0.630806;
99;929982487907;0.6298347;
100;929982596216;0.6291371;
101;929982687863;0.6284166;
102;929982796173;0.6279789;
103;929982887820;0.6277122;
104;929982996130;0.6277446;
105;929983087776;0.6277352;
106;929983196086;0.6276293;
107;929983296065;0.6275192;
108;929983404399;0.6273434;
109;929983504378;0.6272172;
110;929983596049;0.6271421;
111;929983696028;0.6270154;
112;929983796006;0.628669;
113;929983887653;0.6298823;
