ID; TimeStamp; RCQoE;
0;15053370246;0;
1;15065417631;0;
2;15065517610;0;
3;15065617588;0;
4;15065717566;0;
5;15065817545;0;
6;15065917523;0;
7;15066017501;0;
8;15066117479;0;
9;15066225789;0;
10;15066325767;0;
11;15066417414;0;
12;15066509061;0;
13;15066617371;0;
14;15066717349;0;
15;15066817327;0;
16;15066908974;0;
17;15067017284;0;
18;15067117262;0;
19;15067217241;0;
20;15067317219;0;
21;15067425529;0;
22;15067517176;0;
23;15067617154;0;
24;15067717132;0;
25;15067825442;0;
26;15067917089;0;
27;15068017067;0;
28;15068117045;0;
29;15068217024;0;
30;15068317002;0;
31;15068416980;0;
32;15068516959;0;
33;15068616937;0;
34;15068716915;0;
35;15068816893;0;
36;15068916872;0;
37;15069016850;0;
38;15069116828;0;
39;15069216807;0;
40;15069316785;0;
41;15069416763;0;
42;15069516742;0;
43;15069616720;0;
44;15069716698;0;
45;15069816677;0;
46;15069916655;0;
47;15070016633;0;
48;15070116611;0;
49;15070216590;0;
50;15070316568;0;
51;15070416546;0;
52;15070516525;0;
53;15070616503;0;
54;15070716481;0;
55;15070816459;0;
56;15070916438;0;
57;15071016416;0;
58;15071116394;0;
59;15071216373;0;
60;15071316351;0;
61;15071416329;0;
62;15071516308;0;
63;15071616286;0;
64;15071716264;0;
65;15071816243;0;
66;15071916221;0;
67;15072016199;0;
68;15072116177;0;
69;15072216156;0;
70;15072316134;0;
71;15072416112;0;
72;15072516091;0;
73;15072616069;0;
74;15072716047;0;
75;15072816025;0;
76;15072916004;0;
77;15073015982;0;
78;15073115960;0;
79;15073215939;0;
80;15073315917;0;
81;15073415895;0;
82;15073515874;0;
83;15073615852;0;
84;15073715830;0;
85;15073815809;0;
86;15073915787;0;
87;15074015765;0;
88;15074115743;0;
89;15074215722;0;
90;15074315700;0;
91;15074415678;0;
92;15074515657;0;
93;15074615635;0;
94;15074715613;0;
95;15074815591;0;
96;15074915570;0;
97;15075015548;0;
98;15075115526;0;
99;15075215505;0;
100;15075315483;0;
101;15075415461;0;
102;15075515440;0;
103;15075615418;0;
104;15075715396;0;
105;15075815375;0;
106;15075915353;0;
107;15076015331;0;
108;15076115309;0;
109;15076215288;0;
110;15076315266;0;
111;15076415244;0;
112;15076515223;0;
