ID; TimeStamp; RCQoE;
0;595860895891;0;
1;595861004201;0;
2;595861104179;0;
3;595861204157;0;
4;595861304136;0;
5;595861395783;0;
6;595861495761;0;
7;595861595739;0;
8;595861704049;0;
9;595861804027;0;
10;595861904006;0;
11;595861995652;0;
12;595862087299;0;
13;595862203940;0.2693377;
14;595862278924;0.2762865;
15;595862378902;0.2604064;
16;595862470549;0.2496096;
17;595862587191;0.2459337;
18;595862678837;0.2493497;
19;595862778816;0.2942274;
20;595862878794;0.3602406;
21;595862978772;0.4451756;
22;595863078751;0.498631;
23;595863187060;0.5502352;
24;595863270376;0.5996832;
25;595863378685;0.6729473;
26;595863478664;0.7006063;
27;595863578642;0.7123304;
28;595863686952;0.7126675;
29;595863778599;0.710863;
30;595863878577;0.7078886;
31;595863978555;0.7064642;
32;595864078534;0.7055185;
33;595864178512;0.7046998;
34;595864286822;0.7036034;
35;595864378468;0.703503;
36;595864486778;0.7039938;
37;595864586757;0.7054113;
38;595864678403;0.7040449;
39;595864778382;0.7029306;
40;595864878360;0.7043114;
41;595864978338;0.7037572;
42;595865078317;0.7004138;
43;595865178295;0.6983411;
44;595865278273;0.6959336;
45;595865386583;0.6946037;
46;595865478230;0.6943616;
47;595865578233;0.6971016;
48;595865678186;0.6960447;
49;595865778165;0.6954054;
50;595865878143;0.6927994;
51;595865978121;0.692125;
52;595866078100;0.6924761;
53;595866186409;0.6919407;
54;595866269725;0.6911799;
55;595866369703;0.6918643;
56;595866478013;0.6915869;
57;595866577991;0.6914912;
58;595866677969;0.6857229;
59;595866786279;0.6186466;
60;595866877926;0.5709469;
61;595866986236;0.5454667;
62;595867077883;0.5270956;
63;595867186192;0.522778;
64;595867277839;0.5231071;
65;595867386149;0.5241662;
66;595867486127;0.6406327;
67;595867586106;0.6993868;
68;595867686084;0.6987406;
69;595867786062;0.6996951;
70;595867886041;0.702675;
71;595867977687;0.7003954;
72;595868077666;0.6984096;
73;595868152649;0.6967773;
74;595868285954;0.6948377;
75;595868385932;0.6942328;
76;595868485910;0.6931572;
77;595868585889;0.6930356;
78;595868685867;0.6929234;
79;595868785845;0.6938068;
80;595868885824;0.6959547;
81;595868985802;0.6951314;
82;595869094112;0.6909189;
83;595869185758;0.6901373;
84;595869285737;0.6904855;
85;595869385715;0.6893869;
86;595869485693;0.6940253;
87;595869585672;0.7069429;
88;595869685650;0.751403;
89;595869785628;0.7989324;
90;595869877275;0.8129126;
91;595869977253;0.8165922;
92;595870085563;0.816177;
93;595870185541;0.8147092;
94;595870277188;0.8150693;
95;595870377166;0.8159835;
96;595870477145;0.8233012;
97;595870585455;0.8393663;
98;595870685433;0.8408914;
99;595870785411;0.8417679;
100;595870885390;0.8429323;
101;595870977036;0.8437827;
102;595871085346;0.8443719;
103;595871185324;0.8447049;
104;595871285303;0.8449795;
105;595871385281;0.8443602;
106;595871476928;0.8452535;
107;595871568575;0.8423861;
108;595871685216;0.7968907;
109;595871776863;0.7768946;
110;595871876841;0.7738858;
111;595871985151;0.7718935;
112;595872076798;0.7706752;
