Shimmer_F5D4_Timestamp_FormattedUnix_CAL,Shimmer_F5D4_Accel_LN_X_CAL,Shimmer_F5D4_Accel_LN_Y_CAL,Shimmer_F5D4_Accel_LN_Z_CAL,Shimmer_F5D4_Accel_WR_X_CAL,Shimmer_F5D4_Accel_WR_Y_CAL,Shimmer_F5D4_Accel_WR_Z_CAL,Shimmer_F5D4_GSR_Range_CAL,Shimmer_F5D4_GSR_Skin_Conductance_CAL,Shimmer_F5D4_GSR_Skin_Resistance_CAL,Shimmer_F5D4_Gyro_X_CAL,Shimmer_F5D4_Gyro_Y_CAL,Shimmer_F5D4_Gyro_Z_CAL,Shimmer_F5D4_PPG_A13_CAL,Shimmer_F5D4_PPG_IBI_CAL,Shimmer_F5D4_PPGtoHR_CAL,Shimmer_F5D4_GSR_Skin_Conductance_LPF_CAL,
yyyy/mm/dd hh:mm:ss.000,m/(s^2),m/(s^2),m/(s^2),m/(s^2),m/(s^2),m/(s^2),no_units,uS,kOhms,deg/s,deg/s,deg/s,mV,ms,BPM,uS,
2023-08-15 14:08:16.067000,-6.807228915662651,-1.3373493975903614,-7.072289156626506,-1.30226854690374,-6.509503372164316,-6.8031882280809315,2.0,1.7252747252747254,579.6178343949044,0.35580677116718107,-0.0949828098595657,-0.4074354641337914,1385.3479853479853,-1.0,76.04842764862879,1.7295236426839746,
2023-08-15 14:08:16.075000,-6.795180722891566,-1.3373493975903614,-7.060240963855422,-1.3047210300429184,-6.5291232372777435,-6.761496014714899,2.0,1.7267399267399268,579.1260076368264,0.2748091603053435,-0.323407726822446,-0.2517335819590936,1385.3479853479853,-1.0,76.04842764862879,1.7294824144095162,
2023-08-15 14:08:16.083000,-6.807228915662651,-1.349397590361446,-7.060240963855422,-1.3194359288779889,-6.4996934396076025,-6.7737584304107905,2.0,1.7252747252747254,579.6178343949044,0.13344210710331636,0.07330575141308847,0.11735912825592883,1381.6849816849815,-1.0,76.04842764862879,1.7294414418240047,
2023-08-15 14:08:16.090000,-6.795180722891566,-1.3734939759036144,-7.072289156626506,-1.331698344573881,-6.546290619251992,-6.722256284488044,2.0,1.7267399267399268,579.1260076368264,-0.18693549326962272,-0.295786958801934,-0.20290192879202854,1378.021978021978,-1.0,76.04842764862879,1.7294007244810383,
2023-08-15 14:08:16.098000,-6.807228915662651,-1.3734939759036144,-7.072289156626506,-1.2998160637645615,-6.561005518087063,-6.7664009809932555,2.0,1.7252747252747254,579.6178343949044,-0.15616805547462287,0.12120505798030425,-0.01619952217236751,1371.4285714285713,-1.0,76.04842764862879,1.7293602614163872,
2023-08-15 14:08:16.106000,-6.819277108433735,-1.3614457831325302,-7.0361445783132535,-1.25567136725935,-6.453096259963212,-6.7443286327406495,2.0,1.7252747252747254,579.6178343949044,-0.03309830429462177,0.1329759338033913,0.12260357788007688,1364.8351648351647,-1.0,76.04842764862879,1.7293200511896785,
2023-08-15 14:08:16.113000,-6.807228915662651,-1.3614457831325302,-7.0843373493975905,-1.2949110974862048,-6.4996934396076025,-6.695278969957081,2.0,1.7252747252747254,579.6178343949044,-0.2615232212575021,-0.41839053668201176,0.13635569022784205,1357.5091575091574,-1.0,76.04842764862879,1.7292800913658186,
2023-08-15 14:08:16.121000,-6.819277108433735,-1.3734939759036144,-7.096385542168675,-1.3267933782955241,-6.538933169834457,-6.709993868792152,2.0,1.7252747252747254,579.6178343949044,0.12248703455509517,-0.06479808868947004,-0.1553522521997553,1345.054945054945,-1.0,76.04842764862879,1.7292403789810904,
2023-08-15 14:08:16.129000,-6.819277108433735,-1.3734939759036144,-7.060240963855422,-1.3218884120171672,-6.4629061925199265,-6.771305947271612,2.0,1.7252747252747254,579.6178343949044,-0.3060427714002684,-0.15500262222481276,0.15337101567507716,1335.5311355311355,-1.0,76.04842764862879,1.7292009105530592,
2023-08-15 14:08:16.136000,-6.819277108433735,-1.3614457831325302,-7.072289156626506,-1.290006131207848,-6.5364806866952785,-6.793378295524218,2.0,1.7252747252747254,579.6178343949044,-0.183206106870229,-0.2785385467047372,0.5048656838179595,1323.076923076923,-1.0,76.04842764862879,1.7291616820922098,
2023-08-15 14:08:16.144000,-6.807228915662651,-1.3614457831325302,-7.096385542168675,-1.3807480073574494,-6.511955855303494,-6.741876149601471,2.0,1.7252747252747254,579.6178343949044,-0.2581434648330509,-0.18926635976924464,0.34636676184371507,1312.8205128205127,-1.0,76.04842764862879,1.729122689115333,
2023-08-15 14:08:16.152000,-6.819277108433735,-1.3975903614457832,-7.072289156626506,-1.3513182096873084,-6.521765787860208,-6.7664009809932555,2.0,1.7252747252747254,579.6178343949044,-0.16560806479808798,-0.06724549851407281,0.31303537089913164,1300.3663003663003,-1.0,76.04842764862879,1.7290839266606723,
2023-08-15 14:08:16.159000,-6.795180722891566,-1.385542168674699,-7.096385542168675,-1.3218884120171672,-6.497240956468424,-6.746781115879828,2.0,1.7252747252747254,579.6178343949044,-0.0896218169104368,-0.09941145620884616,0.1573334887244334,1287.9120879120878,-1.0,76.04842764862879,1.7290453897627072,
2023-08-15 14:08:16.167000,-6.819277108433735,-1.3734939759036144,-7.072289156626506,-1.2949110974862048,-6.4849785407725316,-6.741876149601471,2.0,1.7252747252747254,579.6178343949044,-0.24112813938581582,-0.2541809917836955,-0.042538313618087756,1276.923076923077,-1.0,76.04842764862879,1.7290070729457092,
