Shimmer_F5D4_Timestamp_FormattedUnix_CAL,Shimmer_F5D4_Accel_LN_X_CAL,Shimmer_F5D4_Accel_LN_Y_CAL,Shimmer_F5D4_Accel_LN_Z_CAL,Shimmer_F5D4_Accel_WR_X_CAL,Shimmer_F5D4_Accel_WR_Y_CAL,Shimmer_F5D4_Accel_WR_Z_CAL,Shimmer_F5D4_GSR_Range_CAL,Shimmer_F5D4_GSR_Skin_Conductance_CAL,Shimmer_F5D4_GSR_Skin_Resistance_CAL,Shimmer_F5D4_Gyro_X_CAL,Shimmer_F5D4_Gyro_Y_CAL,Shimmer_F5D4_Gyro_Z_CAL,Shimmer_F5D4_PPG_A13_CAL,Shimmer_F5D4_PPG_IBI_CAL,Shimmer_F5D4_PPGtoHR_CAL,Shimmer_F5D4_GSR_Skin_Conductance_LPF_CAL,
yyyy/mm/dd hh:mm:ss.000,m/(s^2),m/(s^2),m/(s^2),m/(s^2),m/(s^2),m/(s^2),no_units,uS,kOhms,deg/s,deg/s,deg/s,mV,ms,BPM,uS,
2023-08-11 20:34:53.786000,-9.421686746987952,0.10843373493975904,-2.4216867469879517,0.22562844880441446,-9.383813611281422,-1.9693439607602696,3.0,0.913086913086913,1095.1859956236324,-0.15476953557484935,-0.18530388671988754,-0.24951925878445297,1355.3113553113553,605.133056640625,99.15174744061727,0.9137865433287606,
2023-08-11 20:34:53.794000,-9.409638554216867,0.13253012048192772,-2.4096385542168677,0.3114653586756591,-9.369098712446352,-2.006131207847946,3.0,0.913086913086913,1095.1859956236324,0.0476662199172541,-0.18693549326962272,-0.017364955422178044,1353.113553113553,-1.0,99.15174744061727,0.9137778964624241,
2023-08-11 20:34:53.801000,-9.421686746987952,0.12048192771084337,-2.433734939759036,0.26241569589209074,-9.427958307786634,-2.0453709380748006,3.0,0.913086913086913,1095.1859956236324,0.2013868655672742,0.08845638366062497,0.02948546122020847,1353.113553113553,-1.0,99.15174744061727,0.913769253415665,
2023-08-11 20:34:53.809000,-9.44578313253012,0.12048192771084337,-2.433734939759036,0.19865113427345185,-9.322501532801962,-1.9865113427345187,3.0,0.913086913086913,1095.1859956236324,-0.136705320202785,-0.24847036885962412,-0.07703513781248174,1354.5787545787546,-1.0,99.15174744061727,0.9137606151756582,
2023-08-11 20:34:53.817000,-9.44578313253012,0.12048192771084337,-2.4216867469879517,0.22317596566523604,-9.41814837522992,-2.001226241569589,3.0,0.913086913086913,1095.1859956236324,0.352310471417749,-0.23063924013752143,-0.10687022900763359,1355.3113553113553,-1.0,99.15174744061727,0.9137519827525155,
2023-08-11 20:34:53.824000,-9.46987951807229,0.12048192771084337,-2.4216867469879517,0.24034334763948498,-9.41814837522992,-2.040465971796444,3.0,0.913086913086913,1095.1859956236324,0.04498572344268966,-0.1188741914806823,-0.2425266592855893,1355.3113553113553,-1.0,99.15174744061727,0.9137433571745658,
2023-08-11 20:34:53.832000,-9.433734939759036,0.12048192771084337,-2.4096385542168677,0.24279583077866337,-9.351931330472102,-2.0723482526057633,3.0,0.913086913086913,1095.1859956236324,0.42666511275566676,-0.10349047258318238,0.0031466697744886593,1356.7765567765566,-1.0,99.15174744061727,0.913734739483887,
2023-08-11 20:34:53.840000,-9.409638554216867,0.14457831325301207,-2.397590361445783,0.24034334763948498,-9.334763948497853,-2.0257510729613735,3.0,0.913086913086913,1095.1859956236324,0.20872909504108078,0.08099761086183756,0.09591515645941369,1358.974358974359,-1.0,99.15174744061727,0.9137261307321219,
2023-08-11 20:34:53.847000,-9.421686746987952,0.13253012048192772,-2.397590361445783,0.2673206621704476,-9.398528510116492,-2.0551808706315144,3.0,0.913086913086913,1095.1859956236324,0.46570712662432334,0.1857700600198126,-0.04148942369325806,1359.7069597069597,-1.0,99.15174744061727,0.9137175319766215,
2023-08-11 20:34:53.855000,-9.421686746987952,0.0963855421686747,-2.4216867469879517,0.2329858982219497,-9.351931330472102,-2.0551808706315144,3.0,0.913086913086913,1095.1859956236324,0.12621642095449062,0.16630732474797474,-0.056290425965852924,1358.974358974359,-1.0,99.15174744061727,0.9137089442769357,
2023-08-11 20:34:53.863000,-9.433734939759036,0.12048192771084337,-2.4457831325301207,0.2673206621704476,-9.391171060698957,-2.0257510729613735,3.0,0.913086913086913,1095.1859956236324,0.26257211118233137,-0.12621642095449062,-0.3287687197715749,1358.974358974359,-1.0,99.15174744061727,0.9137003686916882,
2023-08-11 20:34:53.870000,-9.44578313253012,0.10843373493975904,-2.4216867469879517,0.24279583077866337,-9.37155119558553,-2.0208461066830163,3.0,0.913086913086913,1095.1859956236324,0.1222539479051335,0.13472408367810731,-0.30988870112464295,1359.7069597069597,-1.0,99.15174744061727,0.9136918064146081,
2023-08-11 20:34:53.878000,-9.44578313253012,0.13253012048192772,-2.433734939759036,0.2918454935622317,-9.40098099325567,-2.0674432863274066,3.0,0.913086913086913,1095.1859956236324,0.18099178369558963,0.16549152147310714,-0.09043762018530396,1360.4395604395604,-1.0,99.15174744061727,0.9136832587518569,
2023-08-11 20:34:53.886000,-9.433734939759036,0.12048192771084337,-2.397590361445783,0.24770079705702022,-9.37155119558553,-2.0134886572654813,3.0,0.9126429126429126,1095.7188032108977,0.19334537614358085,-0.004428646349280464,-0.3308664996212343,1359.7069597069597,-1.0,99.15174744061727,0.9136747269721864,
