Shimmer_F5D4_Timestamp_FormattedUnix_CAL,Shimmer_F5D4_Accel_LN_X_CAL,Shimmer_F5D4_Accel_LN_Y_CAL,Shimmer_F5D4_Accel_LN_Z_CAL,Shimmer_F5D4_Accel_WR_X_CAL,Shimmer_F5D4_Accel_WR_Y_CAL,Shimmer_F5D4_Accel_WR_Z_CAL,Shimmer_F5D4_GSR_Range_CAL,Shimmer_F5D4_GSR_Skin_Conductance_CAL,Shimmer_F5D4_GSR_Skin_Resistance_CAL,Shimmer_F5D4_Gyro_X_CAL,Shimmer_F5D4_Gyro_Y_CAL,Shimmer_F5D4_Gyro_Z_CAL,Shimmer_F5D4_PPG_A13_CAL,Shimmer_F5D4_PPG_IBI_CAL,Shimmer_F5D4_PPGtoHR_CAL,Shimmer_F5D4_GSR_Skin_Conductance_LPF_CAL,Shimmer_F5D4_GSR_Skin_Resistance_LPF_CAL,
yyyy/mm/dd hh:mm:ss.000,m/(s^2),m/(s^2),m/(s^2),m/(s^2),m/(s^2),m/(s^2),no_units,uS,kOhms,deg/s,deg/s,deg/s,mV,ms,BPM,uS,kOhms,
2023-12-18 15:42:08.935000,-6.72289156626506,-6.313253012048193,-3.433734939759036,-6.376456161863887,-6.453096259963212,-3.014101778050276,1.0,4.362420390294955,229.2305441778818,8.845521822737602,10.161762135073714,2.8466872559874132,1893.040293040293,-1.0,107.30120613436664,4.376768444194799,228.47927787837293,
2023-12-18 15:42:08.942000,-6.698795180722892,-6.397590361445784,-3.4457831325301207,-6.540772532188841,-6.443286327406499,-2.982219497240956,1.0,4.362420390294955,229.2305441778818,7.9447584639589754,10.299166715226384,2.694015500262222,1900.3663003663003,-1.0,107.30120613436664,4.376641170489932,228.48592160244004,
2023-12-18 15:42:08.950000,-6.698795180722892,-6.36144578313253,-3.433734939759036,-6.445125689760882,-6.494788473329246,-2.9576946658491723,1.0,4.362420390294955,229.2305441778818,9.211934036478059,10.207563661791271,2.465007866674436,1892.3076923076922,-1.0,107.30120613436664,4.376514083334031,228.49255601977256,
2023-12-18 15:42:08.958000,-6.746987951807229,-6.337349397590362,-3.457831325301205,-6.423053341508277,-6.458001226241569,-2.9675045984058857,1.0,4.362420390294955,229.2305441778818,9.257735563195617,8.589243051104248,3.243633820872909,1866.6666666666665,-1.0,107.30120613436664,4.376387168106476,228.49918189247765,
2023-12-18 15:42:08.965000,-6.650602409638554,-6.397590361445784,-3.457831325301205,-6.496627835683629,-6.350091968117719,-2.9969343960760266,1.0,4.362420390294955,229.2305441778818,9.257735563195617,8.650311753394323,2.7245498514072604,1825.6410256410254,-1.0,107.30120613436664,4.3762604100246945,228.50579999113887,
2023-12-18 15:42:08.973000,-6.63855421686747,-6.433734939759036,-3.421686746987952,-6.543225015328019,-6.369711833231146,-2.911097486204782,1.0,4.362420390294955,229.2305441778818,8.555445486859739,9.932754501485928,2.4192063399568786,1774.3589743589741,-1.0,107.30120613436664,4.376133794203977,228.51241109169848,
2023-12-18 15:42:08.981000,-6.686746987951808,-6.36144578313253,-3.4096385542168677,-6.491722869405272,-6.482526057633353,-2.9380748007357447,1.0,4.362420390294955,229.2305441778818,8.769185944875007,9.948021677058446,2.129130004079016,1718.6813186813185,-1.0,107.30120613436664,4.376007304118691,228.51901605527095,
2023-12-18 15:42:08.988000,-6.710843373493976,-6.385542168674699,-3.385542168674699,-6.533415082771306,-6.428571428571428,-2.9307173513182097,1.0,4.362420390294955,229.2305441778818,8.814987471592563,8.55870869995921,2.281801759804207,1661.5384615384614,-1.0,107.30120613436664,4.375880923485385,228.5256157304395,
2023-12-18 15:42:08.996000,-6.63855421686747,-6.421686746987952,-3.421686746987952,-6.530962599632127,-6.401594114040465,-2.9650521152667073,1.0,4.362420390294955,229.2305441778818,8.082163044111647,8.467105646524095,1.8695880193461918,1601.4652014652013,-1.0,107.30120613436664,4.375754637780365,228.5322108745141,
2023-12-18 15:42:09.004000,-6.662650602409639,-6.421686746987952,-3.4457831325301207,-6.530962599632127,-6.4629061925199265,-2.9184549356223175,1.0,4.362420390294955,229.2305441778818,8.479109608997144,8.635044577821805,2.052794126216421,1545.054945054945,-1.0,107.30120613436664,4.3756284309772555,228.53880232276117,
2023-12-18 15:42:09.011000,-6.674698795180723,-6.385542168674699,-3.397590361445783,-6.4255058246474555,-6.423666462293071,-2.940527283874923,1.0,4.362420390294955,229.2305441778818,9.105063807470426,7.581609463317988,2.8008857292698557,1493.040293040293,-1.0,107.30120613436664,4.375502285828004,228.54539097381127,
2023-12-18 15:42:09.019000,-6.674698795180723,-6.397590361445784,-3.4096385542168677,-6.420600858369099,-6.428571428571428,-2.9478847332924585,1.0,4.362420390294955,229.2305441778818,8.463842433424624,9.031991142707302,2.9230231338500086,1444.6886446886447,-1.0,107.30120613436664,4.375376187203831,228.5519776163248,
2023-12-18 15:42:09.026000,-6.662650602409639,-6.409638554216868,-3.4457831325301207,-6.543225015328019,-6.455548743102391,-2.952789699570815,1.0,4.362420390294955,229.2305441778818,7.624147776936075,9.169395722859973,2.5260765689645126,1399.2673992673992,-1.0,107.30120613436664,4.375250120294211,228.55856302240846,
2023-12-18 15:42:09.034000,-6.662650602409639,-6.445783132530121,-3.433734939759036,-6.60453709380748,-6.450643776824034,-2.9993868792152054,1.0,4.362420390294955,229.2305441778818,8.158498921974243,8.772449157974476,2.617679622399627,1358.2417582417581,-1.0,107.30120613436664,4.375124070763425,228.56514793947636,
