Shimmer_F5D4_Timestamp_FormattedUnix_CAL,Shimmer_F5D4_Accel_LN_X_CAL,Shimmer_F5D4_Accel_LN_Y_CAL,Shimmer_F5D4_Accel_LN_Z_CAL,Shimmer_F5D4_Accel_WR_X_CAL,Shimmer_F5D4_Accel_WR_Y_CAL,Shimmer_F5D4_Accel_WR_Z_CAL,Shimmer_F5D4_GSR_Range_CAL,Shimmer_F5D4_GSR_Skin_Conductance_CAL,Shimmer_F5D4_GSR_Skin_Resistance_CAL,Shimmer_F5D4_Gyro_X_CAL,Shimmer_F5D4_Gyro_Y_CAL,Shimmer_F5D4_Gyro_Z_CAL,Shimmer_F5D4_PPG_A13_CAL,Shimmer_F5D4_PPG_IBI_CAL,Shimmer_F5D4_PPGtoHR_CAL,Shimmer_F5D4_GSR_Skin_Conductance_LPF_CAL,Shimmer_F5D4_GSR_Skin_Resistance_LPF_CAL,
yyyy/mm/dd hh:mm:ss.000,m/(s^2),m/(s^2),m/(s^2),m/(s^2),m/(s^2),m/(s^2),no_units,uS,kOhms,deg/s,deg/s,deg/s,mV,ms,BPM,uS,kOhms,
2023-12-18 15:10:11.957000,-6.626506024096386,-5.493975903614458,-4.867469879518072,-5.594114040465971,-6.37952176578786,-4.441446965052115,2.0,2.8710622710622715,348.303138555754,0.07820057106229227,-0.30988870112464295,-0.5636035196084145,1273.260073260073,-1.0,95.52424448547275,2.6650390683102962,375.44530049280826,
2023-12-18 15:10:11.965000,-6.626506024096386,-5.530120481927711,-4.867469879518072,-5.657878602084611,-6.372164316370324,-4.394849785407725,2.0,2.872527472527472,348.1254781943382,0.07866674436221735,-0.09218577006002042,-0.300448691801177,1274.7252747252746,-1.0,95.52424448547275,2.66719367094687,375.14326775739744,
2023-12-18 15:10:11.973000,-6.650602409638554,-5.506024096385542,-4.867469879518072,-5.6112814224402205,-6.404046597179644,-4.412017167381974,2.0,2.872527472527472,348.1254781943382,0.2924072023774845,-0.2906590525027685,-0.00815803274867439,1273.260073260073,-1.0,95.52424448547275,2.6693566612836577,374.8404514280034,
2023-12-18 15:10:11.980000,-6.650602409638554,-5.518072289156627,-4.83132530120482,-5.635806253832005,-6.408951563458001,-4.387492335990189,2.0,2.873992673992674,347.9479989803722,0.10815220558242453,-0.18297302022026732,-0.1745819008216304,1273.260073260073,-1.0,95.52424448547275,2.6715275444080806,374.53692529798013,
2023-12-18 15:10:11.988000,-6.662650602409639,-5.518072289156627,-4.843373493975903,-5.54996934396076,-6.401594114040465,-4.429184549356223,2.0,2.873992673992674,347.9479989803722,0.49227900472000435,-0.030650894470019004,-0.44787599790222,1274.7252747252746,-1.0,95.52424448547275,2.6737058258240936,374.23276281326514,
2023-12-18 15:10:11.996000,-6.650602409638554,-5.518072289156627,-4.855421686746988,-5.572041692213365,-6.450643776824034,-4.431637032495401,2.0,2.8754578754578755,347.77070063694265,0.15267175572519084,-0.2143231746401731,-0.45999650370025064,1278.3882783882782,-1.0,95.52424448547275,2.6758910120257706,373.92803698751857,
2023-12-18 15:10:12.003000,-6.650602409638554,-5.518072289156627,-4.843373493975903,-5.58185162477008,-6.423666462293071,-4.453709380748007,2.0,2.876923076923077,347.59358288770056,-0.17015325447234927,-0.4740982460229592,-0.36524678049064724,1283.5164835164835,-1.0,95.52424448547275,2.678082611440067,373.62282025899225,
2023-12-18 15:10:12.011000,-6.626506024096386,-5.518072289156627,-4.83132530120482,-5.606376456161864,-6.374616799509503,-4.412017167381974,2.0,2.878388278388278,347.41664545685927,0.10337392925820155,-0.6562554629683589,-0.3306334129712722,1289.3772893772893,-1.0,95.52424448547275,2.6802801353861265,373.3171843630387,
2023-12-18 15:10:12.019000,-6.602409638554217,-5.518072289156627,-4.83132530120482,-5.6112814224402205,-6.354996934396076,-4.412017167381974,2.0,2.878388278388278,347.41664545685927,0.08472699726123126,-0.6996095798613133,0.1159606083561564,1296.7032967032967,-1.0,95.52424448547275,2.682483098559685,373.0112002629431,
2023-12-18 15:10:12.026000,-6.626506024096386,-5.506024096385542,-4.83132530120482,-5.554874310239117,-6.401594114040465,-4.372777437155119,2.0,2.8798534798534803,347.23988806919357,-0.068877105063808,-0.6036944234018993,-0.022725948371307154,1302.5641025641025,-1.0,95.52424448547275,2.6846910190066335,372.704938143194,
2023-12-18 15:10:12.034000,-6.63855421686747,-5.506024096385542,-4.83132530120482,-5.552421827099939,-6.413856529736358,-4.367872470876763,2.0,2.881318681318681,347.06331045003816,-0.0858924305110431,-0.07994872093700829,-0.08379465066138349,1304.7619047619046,-1.0,95.52424448547275,2.6869034184978924,372.3984673551157,
2023-12-18 15:10:12.042000,-6.626506024096386,-5.518072289156627,-4.879518072289157,-5.58185162477008,-6.367259350091968,-4.41937461679951,2.0,2.881318681318681,347.06331045003816,-0.3757356797389423,0.010022725948371029,0.19043179301905475,1304.0293040293038,-1.0,95.52424448547275,2.6891198229508695,372.0918563735009,
2023-12-18 15:10:12.049000,-6.63855421686747,-5.493975903614458,-4.83132530120482,-5.552421827099939,-6.384426732066217,-4.463519313304721,2.0,2.8827838827838828,346.8869123252859,-0.20453353534176372,0.18961598974418717,-0.1494085426257209,1304.0293040293038,-1.0,95.52424448547275,2.691339762403997,371.7851727898508,
2023-12-18 15:10:12.057000,-6.626506024096386,-5.506024096385542,-4.855421686746988,-5.554874310239117,-6.362354383813611,-4.443899448191293,2.0,2.884249084249084,346.71069342138685,0.19416117941844846,0.06363265543965994,0.04988054309189434,1304.7619047619046,-1.0,95.52424448547275,2.6935627718107766,371.4784831931513,
