time,ECG
2023-08-08 17:39:58.092869,29.0
2023-08-08 17:39:58.100559,24.0
2023-08-08 17:39:58.108248,16.0
2023-08-08 17:39:58.115938,7.0
2023-08-08 17:39:58.123628,-2.0
2023-08-08 17:39:58.131317,-9.0
2023-08-08 17:39:58.139007,-19.0
2023-08-08 17:39:58.146697,-31.0
2023-08-08 17:39:58.154386,-24.0
2023-08-08 17:39:58.162076,-4.0
2023-08-08 17:39:58.169766,4.0
2023-08-08 17:39:58.177455,9.0
2023-08-08 17:39:58.185145,19.0
2023-08-08 17:39:58.192835,24.0
2023-08-08 17:39:58.200524,16.0
2023-08-08 17:39:58.208214,12.0
2023-08-08 17:39:58.215904,9.0
2023-08-08 17:39:58.223593,-58.0
2023-08-08 17:39:58.231283,-355.0
2023-08-08 17:39:58.238973,-814.0
2023-08-08 17:39:58.246662,-896.0
2023-08-08 17:39:58.254352,-256.0
2023-08-08 17:39:58.262042,601.0
2023-08-08 17:39:58.269731,783.0
2023-08-08 17:39:58.277421,328.0
2023-08-08 17:39:58.285111,55.0
2023-08-08 17:39:58.292800,45.0
2023-08-08 17:39:58.300490,-31.0
2023-08-08 17:39:58.308180,-82.0
2023-08-08 17:39:58.315869,-50.0
2023-08-08 17:39:58.323559,-62.0
2023-08-08 17:39:58.331249,-96.0
2023-08-08 17:39:58.338938,-101.0
2023-08-08 17:39:58.346628,-118.0
2023-08-08 17:39:58.354318,-142.0
2023-08-08 17:39:58.362007,-152.0
2023-08-08 17:39:58.369697,-166.0
2023-08-08 17:39:58.377387,-188.0
2023-08-08 17:39:58.385076,-205.0
2023-08-08 17:39:58.392766,-219.0
2023-08-08 17:39:58.400456,-236.0
2023-08-08 17:39:58.408145,-251.0
2023-08-08 17:39:58.415835,-268.0
2023-08-08 17:39:58.423525,-282.0
2023-08-08 17:39:58.431214,-297.0
2023-08-08 17:39:58.438904,-306.0
2023-08-08 17:39:58.446594,-309.0
2023-08-08 17:39:58.454283,-304.0
2023-08-08 17:39:58.461973,-294.0
2023-08-08 17:39:58.469663,-275.0
2023-08-08 17:39:58.477352,-246.0
2023-08-08 17:39:58.485042,-207.0
2023-08-08 17:39:58.492732,-161.0
2023-08-08 17:39:58.500421,-108.0
2023-08-08 17:39:58.508111,-53.0
2023-08-08 17:39:58.515801,-7.0
2023-08-08 17:39:58.523490,26.0
2023-08-08 17:39:58.531180,55.0
2023-08-08 17:39:58.538870,79.0
