time,ECG
2023-08-10 18:13:47.525460,-78.0
2023-08-10 18:13:47.533151,-76.0
2023-08-10 18:13:47.540842,-78.0
2023-08-10 18:13:47.548533,-80.0
2023-08-10 18:13:47.556224,-76.0
2023-08-10 18:13:47.563915,-73.0
2023-08-10 18:13:47.571606,-71.0
2023-08-10 18:13:47.579297,-69.0
2023-08-10 18:13:47.586988,-69.0
2023-08-10 18:13:47.594679,-71.0
2023-08-10 18:13:47.602371,-71.0
2023-08-10 18:13:47.610062,-69.0
2023-08-10 18:13:47.617753,-64.0
2023-08-10 18:13:47.625444,-66.0
2023-08-10 18:13:47.633135,-64.0
2023-08-10 18:13:47.640826,-61.0
2023-08-10 18:13:47.648517,-61.0
2023-08-10 18:13:47.656208,-64.0
2023-08-10 18:13:47.663899,-61.0
2023-08-10 18:13:47.671590,-59.0
2023-08-10 18:13:47.679281,-64.0
2023-08-10 18:13:47.686972,-69.0
2023-08-10 18:13:47.694663,-59.0
2023-08-10 18:13:47.702354,-49.0
2023-08-10 18:13:47.710045,-59.0
2023-08-10 18:13:47.717736,-64.0
2023-08-10 18:13:47.725427,-52.0
2023-08-10 18:13:47.733118,-38.0
2023-08-10 18:13:47.740809,-35.0
2023-08-10 18:13:47.748500,-40.0
2023-08-10 18:13:47.756191,-49.0
2023-08-10 18:13:47.763882,-66.0
2023-08-10 18:13:47.771573,-80.0
2023-08-10 18:13:47.779264,-85.0
2023-08-10 18:13:47.786955,-83.0
2023-08-10 18:13:47.794646,-80.0
2023-08-10 18:13:47.802337,-80.0
2023-08-10 18:13:47.810028,-76.0
2023-08-10 18:13:47.817719,-78.0
2023-08-10 18:13:47.825410,-92.0
2023-08-10 18:13:47.833101,-80.0
2023-08-10 18:13:47.840792,111.0
2023-08-10 18:13:47.848483,559.0
2023-08-10 18:13:47.856174,1009.0
2023-08-10 18:13:47.863865,954.0
2023-08-10 18:13:47.871556,95.0
2023-08-10 18:13:47.879247,-778.0
2023-08-10 18:13:47.886938,-630.0
2023-08-10 18:13:47.894629,-102.0
2023-08-10 18:13:47.902320,-114.0
2023-08-10 18:13:47.910011,-228.0
2023-08-10 18:13:47.917702,-126.0
2023-08-10 18:13:47.925393,-99.0
2023-08-10 18:13:47.933084,-154.0
2023-08-10 18:13:47.940775,-130.0
2023-08-10 18:13:47.948467,-88.0
2023-08-10 18:13:47.956158,-97.0
2023-08-10 18:13:47.963849,-107.0
2023-08-10 18:13:47.971540,-90.0
2023-08-10 18:13:47.979231,-80.0
2023-08-10 18:13:47.986922,-83.0
2023-08-10 18:13:47.994613,-73.0
2023-08-10 18:13:48.002304,-66.0
2023-08-10 18:13:48.009995,-59.0
2023-08-10 18:13:48.017686,-49.0
2023-08-10 18:13:48.025377,-42.0
2023-08-10 18:13:48.033068,-38.0
2023-08-10 18:13:48.040759,-33.0
2023-08-10 18:13:48.048450,-23.0
2023-08-10 18:13:48.056141,-7.0
2023-08-10 18:13:48.063832,7.0
2023-08-10 18:13:48.071523,21.0
2023-08-10 18:13:48.079214,35.0
2023-08-10 18:13:48.086905,54.0
2023-08-10 18:13:48.094596,71.0
2023-08-10 18:13:48.102287,88.0
2023-08-10 18:13:48.109978,99.0
2023-08-10 18:13:48.117669,102.0
2023-08-10 18:13:48.125360,99.0
2023-08-10 18:13:48.133051,90.0
2023-08-10 18:13:48.140742,80.0
2023-08-10 18:13:48.148433,64.0
2023-08-10 18:13:48.156124,38.0
2023-08-10 18:13:48.163815,4.0
2023-08-10 18:13:48.171506,-35.0
2023-08-10 18:13:48.179197,-69.0
2023-08-10 18:13:48.186888,-99.0
2023-08-10 18:13:48.194579,-126.0
2023-08-10 18:13:48.202270,-149.0
2023-08-10 18:13:48.209961,-164.0
2023-08-10 18:13:48.217652,-173.0
2023-08-10 18:13:48.225343,-171.0
2023-08-10 18:13:48.233034,-161.0
2023-08-10 18:13:48.240725,-159.0
2023-08-10 18:13:48.248416,-159.0
2023-08-10 18:13:48.256107,-154.0
2023-08-10 18:13:48.263798,-152.0
2023-08-10 18:13:48.271489,-147.0
2023-08-10 18:13:48.279180,-135.0
2023-08-10 18:13:48.286871,-130.0
2023-08-10 18:13:48.294563,-126.0
2023-08-10 18:13:48.302254,-116.0
2023-08-10 18:13:48.309945,-114.0
2023-08-10 18:13:48.317636,-111.0
2023-08-10 18:13:48.325327,-104.0
2023-08-10 18:13:48.333018,-99.0
2023-08-10 18:13:48.340709,-97.0
2023-08-10 18:13:48.348400,-92.0
2023-08-10 18:13:48.356091,-88.0
2023-08-10 18:13:48.363782,-90.0
2023-08-10 18:13:48.371473,-88.0
2023-08-10 18:13:48.379164,-80.0
2023-08-10 18:13:48.386855,-83.0
2023-08-10 18:13:48.394546,-90.0
2023-08-10 18:13:48.402237,-95.0
2023-08-10 18:13:48.409928,-92.0
2023-08-10 18:13:48.417619,-95.0
2023-08-10 18:13:48.425310,-99.0
2023-08-10 18:13:48.433001,-97.0
2023-08-10 18:13:48.440692,-95.0
2023-08-10 18:13:48.448383,-104.0
2023-08-10 18:13:48.456074,-107.0
2023-08-10 18:13:48.463765,-97.0
2023-08-10 18:13:48.471456,-92.0
2023-08-10 18:13:48.479147,-92.0
2023-08-10 18:13:48.486838,-95.0
2023-08-10 18:13:48.494529,-95.0
2023-08-10 18:13:48.502220,-92.0
2023-08-10 18:13:48.509911,-90.0
2023-08-10 18:13:48.517602,-85.0
2023-08-10 18:13:48.525293,-85.0
2023-08-10 18:13:48.532984,-90.0
2023-08-10 18:13:48.540675,-88.0
2023-08-10 18:13:48.548366,-85.0
2023-08-10 18:13:48.556057,-80.0
2023-08-10 18:13:48.563748,-80.0
2023-08-10 18:13:48.571439,-80.0
2023-08-10 18:13:48.579130,-80.0
2023-08-10 18:13:48.586821,-80.0
2023-08-10 18:13:48.594512,-78.0
2023-08-10 18:13:48.602203,-78.0
2023-08-10 18:13:48.609894,-78.0
2023-08-10 18:13:48.617585,-76.0
2023-08-10 18:13:48.625276,-83.0
2023-08-10 18:13:48.632968,-90.0
2023-08-10 18:13:48.640659,-83.0
2023-08-10 18:13:48.648350,-78.0
2023-08-10 18:13:48.656041,-80.0
2023-08-10 18:13:48.663732,-80.0
2023-08-10 18:13:48.671423,-78.0
2023-08-10 18:13:48.679114,-73.0
2023-08-10 18:13:48.686805,-76.0
2023-08-10 18:13:48.694496,-80.0
2023-08-10 18:13:48.702187,-80.0
2023-08-10 18:13:48.709878,-73.0
2023-08-10 18:13:48.717569,-76.0
2023-08-10 18:13:48.725260,-76.0
2023-08-10 18:13:48.732951,-71.0
2023-08-10 18:13:48.740642,-66.0
2023-08-10 18:13:48.748333,-71.0
2023-08-10 18:13:48.756024,-73.0
2023-08-10 18:13:48.763715,-73.0
2023-08-10 18:13:48.771406,-69.0
2023-08-10 18:13:48.779097,-61.0
2023-08-10 18:13:48.786788,-64.0
2023-08-10 18:13:48.794479,-66.0
2023-08-10 18:13:48.802170,-64.0
2023-08-10 18:13:48.809861,-66.0
2023-08-10 18:13:48.817552,-66.0
2023-08-10 18:13:48.825243,-59.0
2023-08-10 18:13:48.832934,-57.0
2023-08-10 18:13:48.840625,-59.0
2023-08-10 18:13:48.848316,-59.0
2023-08-10 18:13:48.856007,-59.0
2023-08-10 18:13:48.863698,-57.0
2023-08-10 18:13:48.871389,-49.0
2023-08-10 18:13:48.879080,-28.0
2023-08-10 18:13:48.886771,-11.0
2023-08-10 18:13:48.894462,-23.0
2023-08-10 18:13:48.902153,-35.0
2023-08-10 18:13:48.909844,-40.0
2023-08-10 18:13:48.917535,-57.0
2023-08-10 18:13:48.925226,-76.0
2023-08-10 18:13:48.932917,-83.0
2023-08-10 18:13:48.940608,-83.0
2023-08-10 18:13:48.948299,-88.0
2023-08-10 18:13:48.955990,-85.0
2023-08-10 18:13:48.963681,-71.0
2023-08-10 18:13:48.971372,-71.0
2023-08-10 18:13:48.979064,-99.0
2023-08-10 18:13:48.986755,-73.0
2023-08-10 18:13:48.994446,180.0
2023-08-10 18:13:49.002137,687.0
2023-08-10 18:13:49.009828,1099.0
2023-08-10 18:13:49.017519,883.0
2023-08-10 18:13:49.025210,-95.0
2023-08-10 18:13:49.032901,-816.0
2023-08-10 18:13:49.040592,-487.0
2023-08-10 18:13:49.048283,-52.0
2023-08-10 18:13:49.055974,-161.0
2023-08-10 18:13:49.063665,-221.0
2023-08-10 18:13:49.071356,-107.0
2023-08-10 18:13:49.079047,-121.0
2023-08-10 18:13:49.086738,-154.0
2023-08-10 18:13:49.094429,-109.0
2023-08-10 18:13:49.102120,-95.0
2023-08-10 18:13:49.109811,-111.0
2023-08-10 18:13:49.117502,-99.0
2023-08-10 18:13:49.125193,-83.0
2023-08-10 18:13:49.132884,-80.0
2023-08-10 18:13:49.140575,-80.0
2023-08-10 18:13:49.148266,-71.0
2023-08-10 18:13:49.155957,-59.0
2023-08-10 18:13:49.163648,-52.0
2023-08-10 18:13:49.171339,-42.0
2023-08-10 18:13:49.179030,-38.0
2023-08-10 18:13:49.186721,-33.0
2023-08-10 18:13:49.194412,-21.0
2023-08-10 18:13:49.202103,-7.0
2023-08-10 18:13:49.209794,-2.0
2023-08-10 18:13:49.217485,2.0
2023-08-10 18:13:49.225176,21.0
2023-08-10 18:13:49.232867,42.0
2023-08-10 18:13:49.240558,59.0
2023-08-10 18:13:49.248249,73.0
2023-08-10 18:13:49.255940,83.0
2023-08-10 18:13:49.263631,90.0
2023-08-10 18:13:49.271322,92.0
2023-08-10 18:13:49.279013,90.0
2023-08-10 18:13:49.286704,85.0
2023-08-10 18:13:49.294395,76.0
2023-08-10 18:13:49.302086,54.0
2023-08-10 18:13:49.309777,21.0
2023-08-10 18:13:49.317468,-7.0
2023-08-10 18:13:49.325160,-35.0
2023-08-10 18:13:49.332851,-69.0
2023-08-10 18:13:49.340542,-104.0
2023-08-10 18:13:49.348233,-130.0
2023-08-10 18:13:49.355924,-145.0
2023-08-10 18:13:49.363615,-154.0
2023-08-10 18:13:49.371306,-157.0
2023-08-10 18:13:49.378997,-154.0
2023-08-10 18:13:49.386688,-157.0
2023-08-10 18:13:49.394379,-154.0
2023-08-10 18:13:49.402070,-147.0
2023-08-10 18:13:49.409761,-147.0
2023-08-10 18:13:49.417452,-140.0
2023-08-10 18:13:49.425143,-130.0
2023-08-10 18:13:49.432834,-133.0
2023-08-10 18:13:49.440525,-138.0
2023-08-10 18:13:49.448216,-128.0
2023-08-10 18:13:49.455907,-119.0
2023-08-10 18:13:49.463598,-116.0
2023-08-10 18:13:49.471289,-111.0
2023-08-10 18:13:49.478980,-107.0
2023-08-10 18:13:49.486671,-102.0
2023-08-10 18:13:49.494362,-99.0
2023-08-10 18:13:49.502053,-95.0
2023-08-10 18:13:49.509744,-88.0
2023-08-10 18:13:49.517435,-83.0
2023-08-10 18:13:49.525126,-88.0
2023-08-10 18:13:49.532817,-90.0
2023-08-10 18:13:49.540508,-85.0
2023-08-10 18:13:49.548199,-85.0
2023-08-10 18:13:49.555890,-90.0
2023-08-10 18:13:49.563581,-95.0
2023-08-10 18:13:49.571272,-95.0
2023-08-10 18:13:49.578963,-85.0
2023-08-10 18:13:49.586654,-83.0
2023-08-10 18:13:49.594345,-92.0
2023-08-10 18:13:49.602036,-90.0
2023-08-10 18:13:49.609727,-85.0
2023-08-10 18:13:49.617418,-88.0
2023-08-10 18:13:49.625109,-90.0
2023-08-10 18:13:49.632800,-85.0
2023-08-10 18:13:49.640491,-85.0
2023-08-10 18:13:49.648182,-90.0
2023-08-10 18:13:49.655873,-90.0
2023-08-10 18:13:49.663565,-85.0
2023-08-10 18:13:49.671256,-80.0
2023-08-10 18:13:49.678947,-83.0
2023-08-10 18:13:49.686638,-88.0
2023-08-10 18:13:49.694329,-83.0
2023-08-10 18:13:49.702020,-83.0
2023-08-10 18:13:49.709711,-88.0
2023-08-10 18:13:49.717402,-85.0
2023-08-10 18:13:49.725093,-83.0
2023-08-10 18:13:49.732784,-85.0
2023-08-10 18:13:49.740475,-83.0
2023-08-10 18:13:49.748166,-88.0
2023-08-10 18:13:49.755857,-97.0
2023-08-10 18:13:49.763548,-88.0
2023-08-10 18:13:49.771239,-78.0
2023-08-10 18:13:49.778930,-85.0
2023-08-10 18:13:49.786621,-88.0
2023-08-10 18:13:49.794312,-83.0
2023-08-10 18:13:49.802003,-85.0
2023-08-10 18:13:49.809694,-83.0
2023-08-10 18:13:49.817385,-80.0
2023-08-10 18:13:49.825076,-80.0
2023-08-10 18:13:49.832767,-83.0
2023-08-10 18:13:49.840458,-78.0
2023-08-10 18:13:49.848149,-71.0
2023-08-10 18:13:49.855840,-71.0
2023-08-10 18:13:49.863531,-76.0
2023-08-10 18:13:49.871222,-73.0
2023-08-10 18:13:49.878913,-73.0
2023-08-10 18:13:49.886604,-76.0
2023-08-10 18:13:49.894295,-76.0
2023-08-10 18:13:49.901986,-71.0
2023-08-10 18:13:49.909677,-69.0
2023-08-10 18:13:49.917368,-69.0
2023-08-10 18:13:49.925059,-73.0
2023-08-10 18:13:49.932750,-78.0
2023-08-10 18:13:49.940441,-71.0
2023-08-10 18:13:49.948132,-73.0
2023-08-10 18:13:49.955823,-78.0
2023-08-10 18:13:49.963514,-76.0
2023-08-10 18:13:49.971205,-76.0
2023-08-10 18:13:49.978896,-80.0
2023-08-10 18:13:49.986587,-69.0
2023-08-10 18:13:49.994278,-64.0
2023-08-10 18:13:50.001969,-69.0
2023-08-10 18:13:50.009661,-69.0
2023-08-10 18:13:50.017352,-66.0
2023-08-10 18:13:50.025043,-64.0
2023-08-10 18:13:50.032734,-47.0
2023-08-10 18:13:50.040425,-23.0
2023-08-10 18:13:50.048116,-23.0
2023-08-10 18:13:50.055807,-35.0
2023-08-10 18:13:50.063498,-52.0
2023-08-10 18:13:50.071189,-71.0
2023-08-10 18:13:50.078880,-78.0
2023-08-10 18:13:50.086571,-76.0
2023-08-10 18:13:50.094262,-80.0
2023-08-10 18:13:50.101953,-85.0
2023-08-10 18:13:50.109644,-85.0
2023-08-10 18:13:50.117335,-80.0
2023-08-10 18:13:50.125026,-73.0
2023-08-10 18:13:50.132717,-88.0
2023-08-10 18:13:50.140408,-92.0
2023-08-10 18:13:50.148099,61.0
2023-08-10 18:13:50.155790,490.0
2023-08-10 18:13:50.163481,987.0
2023-08-10 18:13:50.171172,1040.0
2023-08-10 18:13:50.178863,261.0
2023-08-10 18:13:50.186554,-699.0
2023-08-10 18:13:50.194245,-697.0
2023-08-10 18:13:50.201936,-145.0
2023-08-10 18:13:50.209627,-97.0
2023-08-10 18:13:50.217318,-238.0
2023-08-10 18:13:50.225009,-142.0
2023-08-10 18:13:50.232700,-99.0
2023-08-10 18:13:50.240391,-152.0
2023-08-10 18:13:50.248082,-130.0
2023-08-10 18:13:50.255773,-92.0
2023-08-10 18:13:50.263464,-104.0
2023-08-10 18:13:50.271155,-107.0
2023-08-10 18:13:50.278846,-88.0
2023-08-10 18:13:50.286537,-85.0
2023-08-10 18:13:50.294228,-88.0
2023-08-10 18:13:50.301919,-73.0
2023-08-10 18:13:50.309610,-61.0
2023-08-10 18:13:50.317301,-57.0
2023-08-10 18:13:50.324992,-52.0
2023-08-10 18:13:50.332683,-57.0
2023-08-10 18:13:50.340374,-54.0
2023-08-10 18:13:50.348065,-26.0
2023-08-10 18:13:50.355757,-4.0
2023-08-10 18:13:50.363448,-4.0
2023-08-10 18:13:50.371139,4.0
2023-08-10 18:13:50.378830,23.0
2023-08-10 18:13:50.386521,33.0
2023-08-10 18:13:50.394212,47.0
2023-08-10 18:13:50.401903,69.0
2023-08-10 18:13:50.409594,85.0
2023-08-10 18:13:50.417285,90.0
2023-08-10 18:13:50.424976,88.0
2023-08-10 18:13:50.432667,83.0
2023-08-10 18:13:50.440358,80.0
2023-08-10 18:13:50.448049,71.0
2023-08-10 18:13:50.455740,52.0
2023-08-10 18:13:50.463431,30.0
2023-08-10 18:13:50.471122,-2.0
2023-08-10 18:13:50.478813,-40.0
2023-08-10 18:13:50.486504,-71.0
2023-08-10 18:13:50.494195,-99.0
2023-08-10 18:13:50.501886,-130.0
2023-08-10 18:13:50.509577,-152.0
2023-08-10 18:13:50.517268,-164.0
2023-08-10 18:13:50.524959,-171.0
2023-08-10 18:13:50.532650,-171.0
2023-08-10 18:13:50.540341,-164.0
2023-08-10 18:13:50.548032,-157.0
2023-08-10 18:13:50.555723,-157.0
2023-08-10 18:13:50.563414,-152.0
2023-08-10 18:13:50.571105,-147.0
2023-08-10 18:13:50.578796,-147.0
2023-08-10 18:13:50.586487,-140.0
2023-08-10 18:13:50.594178,-123.0
2023-08-10 18:13:50.601869,-123.0
2023-08-10 18:13:50.609560,-126.0
2023-08-10 18:13:50.617251,-116.0
2023-08-10 18:13:50.624942,-107.0
2023-08-10 18:13:50.632633,-107.0
2023-08-10 18:13:50.640324,-107.0
2023-08-10 18:13:50.648015,-99.0
2023-08-10 18:13:50.655706,-92.0
2023-08-10 18:13:50.663397,-90.0
2023-08-10 18:13:50.671088,-99.0
2023-08-10 18:13:50.678779,-97.0
2023-08-10 18:13:50.686470,-92.0
2023-08-10 18:13:50.694162,-92.0
2023-08-10 18:13:50.701853,-95.0
2023-08-10 18:13:50.709544,-97.0
2023-08-10 18:13:50.717235,-95.0
2023-08-10 18:13:50.724926,-88.0
2023-08-10 18:13:50.732617,-92.0
2023-08-10 18:13:50.740308,-95.0
2023-08-10 18:13:50.747999,-95.0
2023-08-10 18:13:50.755690,-92.0
2023-08-10 18:13:50.763381,-85.0
2023-08-10 18:13:50.771072,-88.0
2023-08-10 18:13:50.778763,-85.0
2023-08-10 18:13:50.786454,-85.0
2023-08-10 18:13:50.794145,-85.0
2023-08-10 18:13:50.801836,-85.0
2023-08-10 18:13:50.809527,-85.0
2023-08-10 18:13:50.817218,-83.0
2023-08-10 18:13:50.824909,-78.0
2023-08-10 18:13:50.832600,-80.0
2023-08-10 18:13:50.840291,-83.0
2023-08-10 18:13:50.847982,-80.0
2023-08-10 18:13:50.855673,-80.0
2023-08-10 18:13:50.863364,-76.0
2023-08-10 18:13:50.871055,-78.0
2023-08-10 18:13:50.878746,-90.0
2023-08-10 18:13:50.886437,-85.0
2023-08-10 18:13:50.894128,-73.0
2023-08-10 18:13:50.901819,-78.0
2023-08-10 18:13:50.909510,-85.0
2023-08-10 18:13:50.917201,-85.0
2023-08-10 18:13:50.924892,-83.0
2023-08-10 18:13:50.932583,-83.0
2023-08-10 18:13:50.940274,-83.0
2023-08-10 18:13:50.947965,-85.0
2023-08-10 18:13:50.955656,-90.0
2023-08-10 18:13:50.963347,-90.0
2023-08-10 18:13:50.971038,-88.0
2023-08-10 18:13:50.978729,-83.0
2023-08-10 18:13:50.986420,-73.0
2023-08-10 18:13:50.994111,-76.0
2023-08-10 18:13:51.001802,-80.0
2023-08-10 18:13:51.009493,-80.0
2023-08-10 18:13:51.017184,-78.0
2023-08-10 18:13:51.024875,-69.0
2023-08-10 18:13:51.032566,-69.0
2023-08-10 18:13:51.040258,-71.0
2023-08-10 18:13:51.047949,-71.0
2023-08-10 18:13:51.055640,-69.0
2023-08-10 18:13:51.063331,-71.0
2023-08-10 18:13:51.071022,-71.0
2023-08-10 18:13:51.078713,-66.0
2023-08-10 18:13:51.086404,-57.0
2023-08-10 18:13:51.094095,-59.0
2023-08-10 18:13:51.101786,-64.0
2023-08-10 18:13:51.109477,-64.0
2023-08-10 18:13:51.117168,-61.0
2023-08-10 18:13:51.124859,-61.0
2023-08-10 18:13:51.132550,-61.0
2023-08-10 18:13:51.140241,-57.0
2023-08-10 18:13:51.147932,-42.0
2023-08-10 18:13:51.155623,-30.0
2023-08-10 18:13:51.163314,-28.0
2023-08-10 18:13:51.171005,-35.0
2023-08-10 18:13:51.178696,-40.0
2023-08-10 18:13:51.186387,-45.0
2023-08-10 18:13:51.194078,-59.0
2023-08-10 18:13:51.201769,-73.0
2023-08-10 18:13:51.209460,-76.0
2023-08-10 18:13:51.217151,-71.0
2023-08-10 18:13:51.224842,-71.0
2023-08-10 18:13:51.232533,-71.0
2023-08-10 18:13:51.240224,-69.0
2023-08-10 18:13:51.247915,-69.0
2023-08-10 18:13:51.255606,-80.0
2023-08-10 18:13:51.263297,-49.0
2023-08-10 18:13:51.270988,190.0
2023-08-10 18:13:51.278679,666.0
2023-08-10 18:13:51.286370,1044.0
2023-08-10 18:13:51.294061,797.0
2023-08-10 18:13:51.301752,-176.0
2023-08-10 18:13:51.309443,-833.0
2023-08-10 18:13:51.317134,-464.0
2023-08-10 18:13:51.324825,-45.0
2023-08-10 18:13:51.332516,-149.0
2023-08-10 18:13:51.340207,-183.0
2023-08-10 18:13:51.347898,-78.0
2023-08-10 18:13:51.355589,-99.0
2023-08-10 18:13:51.363280,-126.0
2023-08-10 18:13:51.370971,-85.0
2023-08-10 18:13:51.378662,-78.0
2023-08-10 18:13:51.386354,-90.0
2023-08-10 18:13:51.394045,-80.0
2023-08-10 18:13:51.401736,-73.0
2023-08-10 18:13:51.409427,-76.0
2023-08-10 18:13:51.417118,-78.0
2023-08-10 18:13:51.424809,-71.0
2023-08-10 18:13:51.432500,-57.0
2023-08-10 18:13:51.440191,-52.0
2023-08-10 18:13:51.447882,-49.0
2023-08-10 18:13:51.455573,-47.0
2023-08-10 18:13:51.463264,-38.0
2023-08-10 18:13:51.470955,-19.0
2023-08-10 18:13:51.478646,-4.0
2023-08-10 18:13:51.486337,4.0
2023-08-10 18:13:51.494028,19.0
2023-08-10 18:13:51.501719,35.0
2023-08-10 18:13:51.509410,47.0
2023-08-10 18:13:51.517101,61.0
2023-08-10 18:13:51.524792,80.0
2023-08-10 18:13:51.532483,97.0
2023-08-10 18:13:51.540174,104.0
2023-08-10 18:13:51.547865,107.0
2023-08-10 18:13:51.555556,102.0
2023-08-10 18:13:51.563247,95.0
2023-08-10 18:13:51.570938,85.0
2023-08-10 18:13:51.578629,69.0
2023-08-10 18:13:51.586320,35.0
2023-08-10 18:13:51.594011,2.0
2023-08-10 18:13:51.601702,-30.0
2023-08-10 18:13:51.609393,-66.0
2023-08-10 18:13:51.617084,-97.0
2023-08-10 18:13:51.624775,-119.0
2023-08-10 18:13:51.632466,-135.0
2023-08-10 18:13:51.640157,-145.0
2023-08-10 18:13:51.647848,-152.0
2023-08-10 18:13:51.655539,-159.0
2023-08-10 18:13:51.663230,-152.0
2023-08-10 18:13:51.670921,-145.0
2023-08-10 18:13:51.678612,-145.0
2023-08-10 18:13:51.686303,-145.0
2023-08-10 18:13:51.693994,-138.0
2023-08-10 18:13:51.701685,-126.0
2023-08-10 18:13:51.709376,-114.0
2023-08-10 18:13:51.717067,-111.0
2023-08-10 18:13:51.724759,-111.0
2023-08-10 18:13:51.732450,-109.0
2023-08-10 18:13:51.740141,-99.0
2023-08-10 18:13:51.747832,-88.0
2023-08-10 18:13:51.755523,-83.0
2023-08-10 18:13:51.763214,-85.0
2023-08-10 18:13:51.770905,-83.0
2023-08-10 18:13:51.778596,-78.0
2023-08-10 18:13:51.786287,-71.0
2023-08-10 18:13:51.793978,-69.0
2023-08-10 18:13:51.801669,-73.0
2023-08-10 18:13:51.809360,-76.0
2023-08-10 18:13:51.817051,-78.0
2023-08-10 18:13:51.824742,-73.0
2023-08-10 18:13:51.832433,-71.0
2023-08-10 18:13:51.840124,-73.0
2023-08-10 18:13:51.847815,-76.0
2023-08-10 18:13:51.855506,-73.0
2023-08-10 18:13:51.863197,-76.0
2023-08-10 18:13:51.870888,-80.0
2023-08-10 18:13:51.878579,-76.0
2023-08-10 18:13:51.886270,-66.0
2023-08-10 18:13:51.893961,-71.0
2023-08-10 18:13:51.901652,-83.0
2023-08-10 18:13:51.909343,-85.0
2023-08-10 18:13:51.917034,-78.0
2023-08-10 18:13:51.924725,-69.0
2023-08-10 18:13:51.932416,-69.0
2023-08-10 18:13:51.940107,-71.0
2023-08-10 18:13:51.947798,-71.0
2023-08-10 18:13:51.955489,-80.0
2023-08-10 18:13:51.963180,-85.0
2023-08-10 18:13:51.970871,-69.0
2023-08-10 18:13:51.978562,-61.0
2023-08-10 18:13:51.986253,-71.0
2023-08-10 18:13:51.993944,-78.0
2023-08-10 18:13:52.001635,-80.0
2023-08-10 18:13:52.009326,-76.0
2023-08-10 18:13:52.017017,-73.0
2023-08-10 18:13:52.024708,-76.0
2023-08-10 18:13:52.032399,-71.0
2023-08-10 18:13:52.040090,-69.0
2023-08-10 18:13:52.047781,-73.0
2023-08-10 18:13:52.055472,-73.0
2023-08-10 18:13:52.063163,-69.0
2023-08-10 18:13:52.070855,-61.0
2023-08-10 18:13:52.078546,-61.0
2023-08-10 18:13:52.086237,-64.0
2023-08-10 18:13:52.093928,-59.0
2023-08-10 18:13:52.101619,-57.0
2023-08-10 18:13:52.109310,-64.0
2023-08-10 18:13:52.117001,-66.0
2023-08-10 18:13:52.124692,-54.0
2023-08-10 18:13:52.132383,-49.0
2023-08-10 18:13:52.140074,-59.0
2023-08-10 18:13:52.147765,-61.0
2023-08-10 18:13:52.155456,-59.0
2023-08-10 18:13:52.163147,-57.0
2023-08-10 18:13:52.170838,-54.0
2023-08-10 18:13:52.178529,-54.0
2023-08-10 18:13:52.186220,-52.0
2023-08-10 18:13:52.193911,-49.0
2023-08-10 18:13:52.201602,-49.0
2023-08-10 18:13:52.209293,-49.0
2023-08-10 18:13:52.216984,-49.0
2023-08-10 18:13:52.224675,-49.0
2023-08-10 18:13:52.232366,-52.0
2023-08-10 18:13:52.240057,-49.0
2023-08-10 18:13:52.247748,-42.0
2023-08-10 18:13:52.255439,-38.0
2023-08-10 18:13:52.263130,-38.0
2023-08-10 18:13:52.270821,-38.0
