ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;956075638875;-6.5;8.3;-4.8;
1;956084020414;-6.5;8.3;-4.9;
2;956084278691;-6.6;7.9;-4.6;
3;956084536968;-8.7;4.1;-3.3;
4;956084795245;-12.3;-5.5;-1.5;
5;956085045191;-14.2;-17.8;0.6;
6;956085278474;-13.7;-23.9;2.8;
7;956085528420;-12.4;-22.3;3.3;
8;956085778365;-12.5;-23.7;4.2;
9;956086044974;-12.2;-24.2;4.3;
10;956086294920;-12.7;-26.5;5.2;
11;956086553197;-13.3;-44.1;11.7;
12;956086811475;-11.2;-54.4;15.1;
13;956087069777;-17.4;-62.3;16.5;
14;956087311391;-20.1;-63.8;16.4;
15;956087578000;-22.6;-66.5;18.6;
16;956087844609;-28.8;-72.7;25.6;
17;956088094554;-77.9;-81.4;74.6;
18;956088344500;-122.3;-80;119.1;
19;956088602777;-142.9;-76.3;138.2;
20;956088844392;-157.1;-70.5;150.7;
21;956089111000;-166.5;-63.9;158;
22;956089369278;-173.1;-59.7;160.3;
23;956089610942;-179.7;-56.5;163.5;
24;956089869219;176.3;-53.9;164.8;
25;956090135828;178.2;-44.4;164.8;
26;956090394105;-178.9;-38.5;166;
27;956090644051;-178.4;-35.3;167.6;
28;956090902328;-179.5;-31;168.9;
29;956091160606;178.4;-27.7;169.5;
30;956091410551;177.2;-21.3;169.9;
31;956091660497;175.9;-13.8;169.8;
32;956091910443;174.5;-10.8;169.5;
33;956092185383;172.4;-9.5;170.1;
34;956092435329;170.4;-10;171.6;
35;956092685275;171.5;-3.2;171.3;
36;956092935220;171;-0.8;171.3;
37;956093201829;170.2;-0.5;170.8;
38;956093451775;170.2;-5.1;171.7;
39;956093718384;169;-28.4;176;
40;956093968329;166.5;-61.6;-178;
41;956094209944;25.7;-80.7;-37.2;
42;956094476553;0.8;-64.3;-15.3;
43;956094718192;-4;-54.1;-10.7;
44;956094984801;-6.3;-45.2;-9.6;
45;956095243078;-9.1;-37.8;-7.2;
46;956095509687;-9.4;-32.8;-4.9;
47;956095751301;-3.2;-32.3;-4.6;
48;956096009578;7.8;-31.8;-5.6;
49;956096259449;14.8;-30.9;-6.3;
50;956096525783;16.2;-27.8;-5.1;
51;956096775728;13.6;-24.7;-4.3;
52;956097034006;12.9;-22.7;-3.2;
53;956097283951;11.4;-21.5;-2;
54;956097542229;9.7;-18.7;-1.4;
55;956097792249;6.3;-15;-1.8;
56;956098050552;2.4;-11.6;-1.8;
57;956098308829;-1;-10.8;-1.5;
58;956098558775;-3.8;-10.3;-1.7;
59;956098825384;-5.8;-8.4;-2.4;
60;956099066998;-7.3;-8.6;-1.7;
61;956099333607;-10.2;-9.5;-0.7;
62;956099583552;-12.6;-10.6;0;
63;956099841830;-12.1;-10.6;0;
64;956100108438;-12.2;-11.3;0.3;
65;956100350053;-12;-11.4;0.7;
66;956100616661;-11.8;-11.6;0.7;
67;956100866607;-11.9;-12;0.9;
68;956101124884;-12.3;-12.9;1.3;
69;956101383162;-12.9;-14.3;1.7;
70;956101633108;-12.7;-16.6;2.2;
71;956101874722;-12.5;-17.8;2.8;
72;956102141331;-12.5;-18.3;3.1;
73;956102399608;-12.5;-18.4;3.1;
74;956102649554;-12.7;-21.9;3.2;
75;956102907831;-13.3;-28.6;3.8;
76;956103166108;-14.4;-33.1;4.1;
77;956103407797;-15.2;-34.7;4.3;
78;956103682738;-15.2;-35;4.4;
79;956103932758;-15.2;-35.2;4.4;
80;956104182704;-15.6;-36;4.6;
81;956104457644;-16.3;-38.5;4.7;
82;956104682596;-17.9;-43.2;4.9;
83;956104957536;-19.2;-42.9;5.3;
84;956105215938;-20.5;-41.4;5.1;
85;956105482547;-20.5;-40.6;4.8;
86;956105724161;-20.1;-40.8;4.9;
87;956105982439;-19.9;-40.8;4.8;
88;956106249047;-19.8;-40.9;4.8;
89;956106490662;-19.5;-41;4.8;
90;956106740607;-19.4;-40.9;4.6;
91;956107007216;-19.2;-41;4.5;
92;956107248830;-19.1;-41;4.5;
93;956107515439;-18.9;-41.1;4.5;
94;956107765385;-18.9;-41.1;4.6;
95;956108023662;-18.8;-41.1;4.5;
96;956108281939;-18.6;-41.1;4.4;
97;956108531885;-18.8;-41;4.6;
98;956108790162;-18.9;-41.1;4.8;
99;956109048440;-18.8;-41.1;4.8;
100;956109306717;-18.7;-41;4.7;
101;956109556663;-18.6;-41;4.6;
102;956109814940;-18.6;-41;4.6;
103;956110056554;-18.5;-40.9;4.5;
104;956110331495;-18.4;-40.9;4.4;
105;956110589772;-18.4;-40.9;4.4;
106;956110831386;-18.3;-40.9;4.3;
107;956111097995;-18.3;-40.8;4.3;
108;956111347941;-18.2;-40.8;4.2;
109;956111606218;-18.1;-40.7;4.1;
110;956111856164;-18;-40.6;4.1;
111;956112114441;-18.1;-40.7;4.2;
112;956112364387;-18.1;-40.7;4.3;
113;956112622664;-18.1;-40.6;4.3;
114;956112880941;-18;-40.5;4.2;
115;956113147550;-17.8;-40.5;4.1;
116;956113397496;-17.8;-40.5;4;
117;956113655773;-17.7;-40.4;3.8;
