ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;89477628069;5.8;1.8;1;
1;89477861352;5.8;2;0.8;
2;89478119629;5.8;1.9;0.9;
3;89478386238;5.5;1.4;1.2;
4;89478644516;2.1;-0.2;1.1;
5;89478894411;-1.4;-4.6;1.1;
6;89479144357;-1.5;-3.6;1.5;
7;89479402634;1.3;2.2;1.6;
8;89479660912;2.4;4.7;1.6;
9;89479910782;1.5;3.1;1.5;
10;89480160728;1.2;2.4;1.6;
11;89480427337;0.9;1.6;1.5;
12;89480677283;0.8;1.4;1.3;
13;89480935560;0.6;-20.9;1.4;
14;89481185506;2.2;-62.3;-1.8;
15;89481443858;-0.6;-76.2;-0.2;
16;89481701985;-9.9;-75.6;1.7;
17;89481951981;-13.9;-77.6;1.8;
18;89482218615;-168;-85.8;157.9;
19;89482468560;179.5;-67.8;172.4;
20;89482718506;-173.9;-62.8;171.4;
21;89482985140;-170;-56.8;177.4;
22;89483243417;-164.6;-61.2;178.7;
23;89483501695;-4.6;-75.7;14.5;
24;89483743284;-0.9;-58.3;4;
25;89484001561;0.4;-57.2;1.3;
26;89484251632;-0.4;-56.2;1.5;
27;89484509884;0.4;-41.3;2.3;
28;89484759830;2.4;-23.6;1.2;
29;89485017957;0.2;-17.4;1.8;
30;89485276234;-0.6;-11.3;1.9;
31;89485534512;-0.8;-1.5;2.5;
32;89485776126;-1.1;32.3;3.2;
33;89486042735;-2.1;43.2;2.1;
34;89486292680;-3.4;44.8;2.1;
35;89486550958;-1.2;50;2.8;
36;89486817567;0.9;54;3.1;
37;89487059181;2.7;56.9;3.5;
38;89487317508;0.8;55.2;2.6;
39;89487584142;-0.8;58.2;2.5;
40;89487825756;28;82.7;32;
41;89488092390;44.9;85.7;47.8;
42;89488350667;83;86.7;84;
43;89488600613;88.6;86.9;90;
44;89488850559;66.1;87;68.5;
45;89489117167;62.1;86.9;64.7;
46;89489367113;152.7;83.5;154.6;
47;89489625390;174.4;80.2;176;
48;89489875336;177.1;76.8;177.1;
49;89490133613;178.5;75.4;177.2;
50;89490391891;176.9;79.2;174.8;
51;89490650168;168.1;83.5;165.6;
52;89490900039;-2.5;33.9;-2.4;
53;89491158291;-5.1;-4.6;-0.4;
54;89491416568;-5.2;-11;1.3;
55;89491666514;-5;-11.8;1.6;
56;89491924791;-4.5;-12.3;1.9;
57;89492174737;-5.7;-13.2;2;
58;89492433014;-6;-13.8;1.6;
59;89492682960;-7.1;-14.7;1.8;
60;89492949569;-7.2;-16.3;2;
61;89493207846;-15.5;-17.6;1;
62;89493457792;-25.7;-19.9;0.9;
63;89493716069;-23.4;-20.2;1.8;
64;89493957683;-6;-19.2;1.4;
65;89494224292;0.2;-26.6;2;
66;89494482570;4.9;-65.4;-0.6;
67;89494740872;2.8;-78.8;4.1;
68;89495007481;-2;-85.1;21.5;
69;89495249095;-143.6;-83.8;171.4;
70;89495507372;-146.8;-85.1;178.2;
71;89495757243;12.7;-77.7;23.3;
72;89496023927;14.1;-52.6;17.2;
73;89496265541;-3.2;-28.7;10.6;
74;89496523818;-3.9;-29.1;6.3;
75;89496773764;-6.3;-28.3;4.7;
76;89497040373;-10.5;-22;2.6;
77;89497290318;-9.1;-14.6;1.5;
78;89497548596;-8.7;-4.2;-0.5;
79;89497815205;-7.1;9.1;0.6;
80;89498065175;-5.8;24.3;1.7;
81;89498315121;-2.4;41.9;3.9;
82;89498573398;-0.9;49.9;3.1;
83;89498823344;0.8;53.9;2.5;
84;89499064958;3.1;61.2;3.3;
85;89499323236;2;62.8;2.8;
86;89499589844;1.2;65;3.6;
87;89499839790;22;81.2;32.8;
88;89500106399;2;85.4;13;
89;89500348013;4.4;77.8;11.5;
90;89500614622;0;61.6;2.9;
91;89500872899;1.2;51.4;3.1;
92;89501131176;1.8;9.4;-0.3;
93;89501381147;1.5;-5.4;1.4;
94;89501647756;0.6;-7.9;1.4;
95;89501889370;-0.5;-11.4;1.2;
96;89502147648;1.2;-14;0.6;
97;89502405925;0.4;-18.7;0.7;
98;89502655871;-1.3;-24.8;0.7;
99;89502905816;-4.5;-32.1;1.2;
100;89503180757;-7.1;-38.8;1.6;
101;89503422421;-8.6;-44.9;1;
102;89503680723;-8.6;-49.5;1;
103;89503930669;-7.6;-35.5;2.7;
104;89504188946;-6.3;4.2;2.2;
105;89504455405;-6.1;10.7;1.6;
106;89504697019;-5.7;17.3;0.7;
107;89504946965;-2;31.2;2.3;
108;89505196911;1.8;34.4;2.2;
109;89505463519;2.8;35.4;2.1;
110;89505721797;1.5;33.6;1.8;
111;89505988456;0.7;31.8;1.5;
112;89506230070;0.7;31.4;1.6;
113;89506496679;1;30.7;1.9;
114;89506746624;0.9;28.9;2;
115;89507004902;1;28.8;2;
116;89507254847;1.4;29.8;2.1;
