ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;182753544473;-4.1;0.5;-0.8;
1;182753794419;-4.2;0.7;-0.8;
2;182754044364;-4.2;0.7;-0.8;
3;182754302642;-4.2;0.7;-0.8;
4;182754552587;-4.1;0.7;-0.9;
5;182754810865;-4.1;0.5;-0.8;
6;182755052479;-4.1;0.5;-0.8;
7;182755302425;-6.1;6.9;-0.7;
8;182755552370;-8.9;19;-1.4;
9;182755818979;-10.4;21.4;-1.7;
10;182756060593;-9.5;16.2;-1.3;
11;182756318871;-7.7;-5.6;-0.7;
12;182756577148;-8.4;-17.7;1.5;
13;182756843757;-9.1;-25.2;2.8;
14;182757102034;-9.3;-38;2.8;
15;182757343648;-8.8;-55.4;2.2;
16;182757610257;-12.4;-68.5;4.9;
17;182757851871;-33.7;-84.8;26.2;
18;182758110149;-163.7;-79.9;155.1;
19;182758376757;-171.3;-68.8;163.2;
20;182758635035;-173.4;-64;163.9;
21;182758884980;-149.5;-82.5;143.3;
22;182759134926;-8.7;-60.4;2.6;
23;182759393203;-6.3;-27.7;-1.1;
24;182759651481;-7.8;0.9;-2.8;
25;182759909758;-9.6;31.3;-4.9;
26;182760168035;-11.6;49.9;-6.9;
27;182760417981;-20;63.3;-13.3;
28;182760676258;-36.3;73.1;-28.5;
29;182760934535;-56.4;76.4;-47.3;
30;182761176150;-57.1;75.9;-48.7;
31;182761442759;-52.2;75.6;-44.2;
32;182761684373;-51.7;75.4;-43.5;
33;182761950982;-43;73.3;-34.7;
34;182762192596;-37.3;72.2;-29.5;
35;182762459205;-36.3;71.7;-28.7;
36;182762717482;-39.4;72.8;-32.6;
37;182762975759;-66.4;78.9;-59.6;
38;182763225705;-101.2;79.4;-96.1;
39;182763475651;-115.6;78.6;-109.7;
40;182763742259;-123.8;78.9;-117.1;
41;182763992205;-138;74.2;-132;
42;182764242151;-142.8;73.5;-134.9;
43;182764508760;-151.8;74.2;-142.1;
44;182764758705;-159.7;72.8;-149.7;
45;182765008651;-161.7;69.3;-152.3;
46;182765275260;-155.7;70;-148.2;
47;182765525206;-135.6;78.1;-129.2;
48;182765775152;-111;82;-107;
49;182766041760;-77.9;82;-72.1;
50;182766291706;-47.3;79.6;-40.7;
51;182766558315;-33.7;78.1;-26.8;
52;182766808261;-29.4;76.4;-21.9;
53;182767058206;-26.8;74.8;-19.3;
54;182767316484;-22.4;71.1;-15;
55;182767574761;-19.3;67.3;-11.8;
56;182767824707;-17;63.5;-9.9;
57;182768082984;-16.4;60.8;-9.5;
58;182768324598;-15.8;59.9;-9.2;
59;182768591207;-16.4;62.7;-9.2;
60;182768841153;-17.7;66.4;-10.3;
61;182769099430;-22.5;68.4;-13.8;
62;182769357707;-25.5;69.1;-16.5;
63;182769615985;-26.8;69.3;-17.5;
64;182769874262;-27.6;69.2;-18.2;
65;182770132539;-27.6;68.9;-17.8;
66;182770382485;-26.8;68;-17.1;
67;182770632431;-20.5;60.5;-11.1;
68;182770890708;-16.8;57.6;-8.5;
69;182771123991;-16.1;58.1;-8;
70;182771407262;-16.7;62.9;-10;
71;182771657208;-21.4;67.7;-15.9;
72;182771907154;-20.2;66.1;-14.2;
73;182772173763;-18.4;64.8;-11.8;
74;182772423708;-18.4;64.5;-11.3;
75;182772690317;-18.6;66.3;-11;
76;182772940263;-21.6;71.2;-12;
77;182773198540;-24;70.8;-14.6;
78;182773448486;-22.1;69.6;-13.5;
79;182773706763;-17.9;65;-9.9;
80;182773956709;-12.6;45;-5.6;
81;182774214986;-10.9;32.1;-4.4;
82;182774473264;-10.2;21.1;-3.1;
83;182774723209;-9;12.5;-2.5;
84;182774981487;-7.8;6.9;-0.8;
85;182775239764;-7.3;-0.1;-0.3;
86;182775498041;-7.2;-3.2;-1.3;
87;182775747987;-7;1.3;-2.7;
88;182776006264;-8.5;4.9;-1.3;
89;182776256210;-9.3;-11.1;0.2;
90;182776514487;-8.2;-20.1;0.2;
91;182776772765;-7.4;-16.8;-0.7;
92;182777022710;-6.5;-5.5;-1.4;
93;182777264325;-7.7;-0.1;-2;
94;182777530933;-9.7;7.8;-1.7;
95;182777789211;-11.9;17.9;-2.5;
96;182778047488;-13.6;28.8;-3.3;
97;182778280771;-15.5;40.6;-7.5;
98;182778555711;-16.5;44;-10.1;
99;182778797325;-15.7;43.6;-9.8;
100;182779063934;-12.4;35.6;-7.4;
101;182779322211;-6.5;-2.9;-5.5;
102;182779580488;-7.6;-33.4;-1.8;
103;182779822103;-11;-35.7;2;
104;182780088711;-12.5;-36.1;2.9;
105;182780346989;-14;-41.5;4.9;
106;182780596935;-13.7;-43.8;6;
107;182780871875;-12.7;-42.7;5.6;
108;182781130152;-11.9;-41.9;5.2;
109;182781380098;-12.4;-41.1;5.3;
110;182781638375;-12.1;-39.8;5.1;
111;182781888321;-11.6;-38.8;4.6;
112;182782138267;-11.7;-37.9;4.5;
113;182782396544;-10.8;-30.7;3;
114;182782654821;-8.4;-16.9;0.1;
115;182782913098;-7.3;-14.8;-1.1;
116;182783163044;-6.6;-22.9;-0.9;
