ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;151353343127;13.4;0.4;-0.5;
1;151353601479;13.2;0.7;-0.6;
2;151353851425;13.4;0.8;-0.6;
3;151354109702;13.4;0.7;-0.6;
4;151354367980;13.2;0.9;-0.7;
5;151354592681;13.3;1.4;-0.8;
6;151354850958;13.3;1.4;-0.8;
7;151355101004;12.9;1.1;-0.9;
8;151355375944;8.9;-1.2;-1.5;
9;151355634272;0.2;-5.4;-2;
10;151355875911;-5.9;-11.1;-1.3;
11;151356142520;-9.2;-16.3;0;
12;151356384159;-9.4;-18.1;0.2;
13;151356650768;-9.1;-16;-0.1;
14;151356900588;-9.8;-11.5;-0.4;
15;151357150534;-10;-9;-0.2;
16;151357408811;-10;-9.8;0.1;
17;151357667089;-10;-9.6;-0.1;
18;151357908703;-9.9;-9;-0.5;
19;151358175262;-9.5;-6;-0.9;
20;151358441845;-9.1;-2.6;-1.4;
21;151358691841;-9;-2;-1.8;
22;151358950068;-8.8;0;-1.8;
23;151359191683;-8.2;1.9;-1.9;
24;151359458292;-8.2;1.6;-2;
25;151359708237;-8.3;1.4;-2;
26;151359966515;-8.4;0.1;-1.8;
27;151360216460;-8.4;-1.2;-1.8;
28;151360474738;-8.1;-0.1;-1.9;
29;151360733015;-7.6;7;-2.1;
30;151360982961;-7.8;9.4;-2.1;
31;151361224575;-8;8.9;-1.8;
32;151361499515;-8;8.3;-1.6;
33;151361757792;-8.2;7.3;-1.4;
34;151362016095;-8.6;2.5;-0.8;
35;151362266040;-8.6;-5.6;-0.5;
36;151362515986;-8.4;-14.1;-0.9;
37;151362774263;-7.6;-21.5;-1.5;
38;151363032541;-8.4;-28.7;-0.3;
39;151363290843;-7.9;-32.6;-0.7;
40;151363524151;-7.5;-35;-0.6;
41;151363790785;-7.2;-36.7;-0.7;
42;151364049112;-7.7;-36.9;-0.4;
43;151364315796;-7.2;-36.7;-0.7;
44;151364557485;-7.1;-36.8;-0.7;
45;151364815762;-7.1;-36.8;-0.6;
46;151365065708;-7;-35.8;-0.7;
47;151365340448;-7.1;-35;-0.7;
48;151365581962;-7.4;-36.9;0;
49;151365840265;-7.9;-41.7;0;
50;151366082104;-7.6;-48.3;-0.3;
51;151366348713;-7.1;-56;-0.5;
52;151366615221;-6.7;-63.5;-0.4;
53;151366856836;-4.1;-66.9;-2;
54;151367106781;-2.5;-69;-3.1;
55;151367365059;-3.3;-69;-1.6;
56;151367615004;-4.8;-67.2;-1.1;
57;151367881613;-5.7;-65.8;-0.3;
58;151368139891;-6.5;-65.8;0.2;
59;151368389836;-5.2;-65.8;-0.9;
60;151368648114;-3.8;-68.1;-1.9;
61;151368906391;-5.2;-76.3;-0.7;
62;151369156237;2;-84.3;-7.7;
63;151369414514;24.7;-86.4;-30.4;
64;151369672791;17;-84;-22.2;
65;151369939400;12.2;-83.7;-16.9;
66;151370181014;33.1;-86.6;-39.1;
67;151370439291;144.3;-86.8;-149.6;
68;151370705900;159.4;-83.9;-163.8;
69;151370955846;165.4;-82.7;-169.2;
70;151371214123;163.4;-82.4;-167.2;
71;151371464069;170.3;-80;-173.8;
72;151371730678;172.7;-73.2;-176.9;
73;151371980624;172.5;-68.1;-175.6;
74;151372230619;171.7;-64.6;-174.3;
75;151372489047;173.7;-60.4;-176;
76;151372747074;174.7;-61.2;-175.5;
77;151373013683;174.7;-61.2;-175;
78;151373255297;176.2;-57.7;-177.2;
79;151373513574;175.7;-50.5;-178;
80;151373771851;174.6;-41.7;-178.4;
81;151374038460;175.4;-35;-178.2;
82;151374280074;175.7;-31.2;-177;
83;151374538402;176.4;-30.8;-176.6;
84;151374788348;177;-27.5;-176.8;
85;151375046575;177;-23.1;-176.5;
86;151375296521;176.4;-19.9;-176.3;
87;151375554798;176.4;-18.4;-176.3;
88;151375813075;176.9;-17.1;-177.2;
89;151376063046;175.4;-10.9;-178.8;
90;151376321373;172.5;0.3;-179.3;
91;151376579650;169.6;4.2;-179.4;
92;151376837928;170.1;5;-179.2;
93;151377087873;171.7;15.3;-177.9;
94;151377337819;173.8;20.5;-177.4;
95;151377604428;173.7;19.7;-177.5;
96;151377846042;174;19.9;-177.4;
97;151378104319;173.9;20.3;-177.1;
98;151378354265;174.6;22.2;-176.4;
99;151378629206;175.2;27.4;-176.7;
100;151378879101;175.8;34.4;-176.1;
101;151379137379;176.1;40.3;-175.2;
102;151379387324;176.8;46.2;-174.7;
103;151379645677;176.9;51.6;-174.2;
104;151379895622;176.3;55.4;-173.9;
105;151380153900;178.2;56.1;-171.7;
106;151380412202;177.6;54;-172.9;
107;151380678811;176.6;49.6;-174;
108;151380912093;175.2;41.6;-176.7;
109;151381178577;175.2;38.7;-177.3;
110;151381420191;175.7;40.1;-176.5;
111;151381686800;175.8;42.9;-176.3;
112;151381936746;175.7;44.9;-176.1;
113;151382195023;174.2;48.4;-176.9;
114;151382461632;175.3;60;-175.5;
115;151382711578;178.2;63.4;-172.7;
116;151382961524;177.8;60.9;-173.1;
