ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;;4.7;0.8;-0.2;
1;;4.5;1.2;0;
2;;4.3;1.6;0;
3;;4.1;1.6;0.1;
4;;4;1.5;0.1;
5;;3;-1.2;-0.4;
6;;-1.9;-9.5;-1.2;
7;;-14.9;-15.1;-0.2;
8;;-17.4;-17.8;0.9;
9;;-16.6;-20;0.8;
10;;-14.2;-19.7;0.8;
11;;-13;-16.8;1;
12;;-12.4;-16.9;1;
13;;-12.1;-17.1;0.8;
14;;-12.3;-20.8;1;
15;;-11.8;-22.8;1.3;
16;;-11.9;-23.6;1.5;
17;;-11.6;-23.7;1.5;
18;;-11.2;-23;1.5;
19;;-9.9;-19.3;1.7;
20;;-9.1;-18.7;1.5;
21;;-9;-18.6;1.5;
22;;-8.8;-18.6;1.5;
23;;-8.8;-18.8;1.5;
24;;-8.9;-19;1.4;
25;;-9;-19.2;1.5;
26;;-8.9;-19.2;1.4;
27;;-9;-19.7;1.4;
28;;-9.2;-19.5;1.4;
29;;-9;-18.6;1.4;
30;;-8.7;-9.4;1;
31;;-8.7;-7.1;1.1;
32;;-9;-8.1;1.3;
33;;-9.4;-10.4;1.4;
34;;-9.7;-16.6;1.1;
35;;-9.9;-19;1.3;
36;;-9.9;-19.3;1.4;
37;;-9.6;-19.4;1.2;
38;;-9.7;-19.5;1.3;
39;;-9.6;-19.6;1.2;
40;;-9.5;-19.7;1.2;
41;;-9.5;-19.7;1.3;
42;;-9.4;-19.7;1.3;
43;;-9.3;-19.8;1.3;
44;;-9.2;-19.8;1.3;
45;;-9.1;-19.9;1.4;
46;;-9.1;-19.9;1.4;
47;;-9;-20;1.4;
48;;-8.9;-19.9;1.4;
49;;-8.9;-20;1.4;
50;;-8.8;-20;1.5;
51;;-8.1;-20;1.7;
52;;-8.2;-19.7;1.7;
53;;-10.4;-12.6;2.3;
54;;-16.2;-12.3;2.9;
55;;-17.9;-13.2;3;
56;;-17.7;-13.3;3.2;
57;;-16.6;-12.9;2.9;
58;;-16.5;-12.8;2.8;
59;;-16.4;-12.8;2.8;
60;;-16;-13.1;2.7;
61;;-15.7;-13.3;2.7;
62;;-15.3;-13.4;2.6;
63;;-15.1;-13.4;2.5;
64;;-14.9;-13.5;2.6;
65;;-14.3;-13.7;2.6;
66;;-8.5;-14.5;1.6;
67;;-4.8;-16.1;1.4;
68;;-2.7;-17.5;0.8;
69;;-1;-18.4;0.3;
70;;0;-18.3;0.6;
71;;1.6;-18.7;0.6;
72;;3.4;-18.6;0.7;
73;;3.3;-25.8;-0.9;
74;;3.5;-36.8;-3.1;
75;;3.3;-44.9;-2.4;
76;;4.4;-55.8;-3.1;
77;;5.2;-65.1;-4.1;
78;;7;-75.8;-6.1;
79;;30.6;-86;-29.6;
80;;165.7;-83.5;-164.5;
81;;173.9;-74.8;-172.6;
82;;176.2;-67.4;-174.6;
83;;177;-64.3;-175.3;
84;;175.2;-65.5;-173.4;
85;;174.9;-75.1;-173.8;
86;;-176;-82.1;175.4;
87;;-177.4;-84.4;175.4;
88;;-164.2;-86.7;161.4;
89;;-103.4;-89.1;100.7;
90;;-16.6;-85.2;13.5;
91;;-12.1;-83.2;8.7;
92;;-13.2;-84.6;8.9;
93;;-10.8;-77.6;7.1;
94;;-8.1;-52.7;6.4;
95;;-6;-20;6.4;
96;;-5.2;2.7;5.9;
97;;-4.4;18.4;4.2;
98;;-3.7;32.6;3.2;
99;;-2;37.7;4.7;
100;;-2.1;38;4.9;
101;;-2.1;31.7;5.3;
102;;-1.6;31.1;5.1;
103;;-1.9;29.6;4.8;
104;;-3.4;12.3;2.7;
105;;-4.8;-5.7;2.4;
106;;-5.3;-8.4;2.2;
107;;-5.8;-8.4;0.2;
108;;-6;-9.7;0.3;
109;;-6.5;-10.5;1.1;
110;;-6.7;-10.1;1;
111;;-12.5;-9;1.2;
112;;-18.5;-8.3;1.3;
113;;-19.7;-7.8;1.3;
114;;-18.3;-7.9;1.4;
115;;-17.9;-7.6;1.3;
116;;-15.5;-7.8;1;
