ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;15102109717;-9.8;2.7;-5.7;
1;15102367995;-9.9;3.2;-6;
2;15102626272;-9.7;3.5;-6.1;
3;15102884549;-9.8;3.5;-6;
4;15103134495;-9.8;3.3;-5.9;
5;15103384441;-10;3;-5.9;
6;15103642718;-10.3;2.9;-5.8;
7;15103900995;-11.8;3.2;-5.8;
8;15104159273;-16.4;12.6;-6.7;
9;15104409218;-19;22.7;-8.8;
10;15104667496;-22.8;32;-10.2;
11;15104925773;-23.9;39.2;-10.7;
12;15105184050;-23.9;40.7;-10.9;
13;15105433996;-23.1;39.2;-10.8;
14;15105692273;-17.1;27.6;-8.3;
15;15105942219;-13.6;12.8;-5.9;
16;15106200496;-15.2;-0.7;-3.9;
17;15106458773;-15.4;-6.3;-3.7;
18;15106708719;-14.6;-10.5;-3.9;
19;15106966996;-12.8;-13.1;-4;
20;15107225274;-10.7;-24.4;-2.4;
21;15107483551;-9.4;-26.1;-1.9;
22;15107733497;-9.8;-25.1;-2.6;
23;15107991774;-10.3;-23.7;-2.9;
24;15108250051;-10.6;-21.6;-3.1;
25;15108499997;-10.6;-20.6;-2.9;
26;15108758274;-10.2;-19.4;-3.1;
27;15109008220;-9.6;-15;-3.5;
28;15109266497;-9.4;-8.8;-4.6;
29;15109524775;-7.2;1;-6.3;
30;15109774720;-9;7.8;-6.4;
31;15110032998;-11.2;11;-7.4;
32;15110291275;-13.2;11.6;-7.8;
33;15110549552;-17.5;11.5;-7.4;
34;15110799498;-19.1;11.5;-7.5;
35;15111057775;-19.8;11.5;-7.4;
36;15111307721;-19.1;12;-7.4;
37;15111565848;-18.3;12.8;-7.4;
38;15111824051;-17.8;13.1;-7.8;
39;15112074221;-17.2;14;-8.2;
40;15112332499;-17;15;-8.4;
41;15112590776;-17.3;14.6;-8.5;
42;15112840722;-18.5;14;-8.4;
43;15113098999;-18.1;13.9;-8.3;
44;15113357276;-17.6;13.8;-8;
45;15113607222;-16.8;13.7;-7.9;
46;15113865499;-13.7;14.3;-8;
47;15114123776;-11;13.6;-7.8;
48;15114373722;-10.8;12;-7.2;
49;15114631999;-11;11.7;-7;
50;15114881945;-10.9;11.1;-7.3;
51;15115140223;-11.2;10.5;-7.2;
52;15115398500;-11.5;10.1;-7.1;
53;15115656777;-11.9;10;-7;
54;15115906723;-14.5;10;-6.9;
55;15116165000;-15.4;10.5;-7;
56;15116414946;-15.4;10.7;-7.2;
57;15116681555;-16.7;12.2;-6.9;
58;15116939832;-15.9;12.4;-7;
59;15117198109;-16.2;12.1;-7.3;
60;15117448055;-16.2;10.7;-7.4;
61;15117706332;-15.9;9.5;-7.3;
62;15117964609;-15.6;9.5;-7.1;
63;15118214555;-15.5;10;-7.2;
64;15118472833;-15.5;10.2;-7.3;
65;15118731110;-15.6;10.2;-7.3;
66;15118989387;-16.3;10.3;-7.4;
67;15119239333;-18;11.9;-7.3;
68;15119497610;-20.7;25.9;-10;
69;15119747556;-23;35.5;-12.7;
70;15120005833;-25;36.9;-14.8;
71;15120264110;-25.9;37.3;-14.8;
72;15120522388;-25.8;35.9;-13.6;
73;15120772333;-25;35.6;-13.5;
74;15121030611;-24.6;35.4;-13.3;
75;15121280556;-24.8;35.9;-13.4;
76;15121538609;-24.5;35.4;-13.1;
77;15121796986;-22.3;33.7;-11.9;
78;15122047057;-21.3;31.9;-11.3;
79;15122305334;-18.6;27.7;-9.9;
80;15122563611;-16.7;26.4;-8.5;
81;15122813557;-17.6;31.3;-8.8;
82;15123071834;-18.6;32.5;-9.8;
83;15123330112;-17.9;31.3;-10;
84;15123580057;-16.3;28.9;-9.3;
85;15123838335;-13.5;22.6;-8.3;
86;15124088280;-12.5;12.9;-7.1;
87;15124346558;-12.2;4.2;-5.8;
88;15124604835;-10.5;-0.2;-4.8;
89;15124863112;-8.5;-6.3;-5.3;
90;15125113058;-8.1;-10.5;-5.4;
91;15125371335;-9.3;-17.9;-4.5;
92;15125629612;-9;-17.3;-4.4;
93;15125879558;-8;-16.9;-5.1;
94;15126137835;-7.3;-11.6;-5.7;
95;15126387781;-13.4;-7.4;-4.9;
96;15126646059;-14.4;-4;-5.2;
97;15126904336;-17.4;2.2;-5.4;
98;15127162613;-17.1;4;-6;
99;15127412559;-16.4;4.4;-6.8;
100;15127670836;-16.2;3.2;-6.6;
101;15127920782;-16.5;1.6;-5.9;
102;15128179059;-16.4;1.5;-5.8;
103;15128437336;-15.4;2.6;-5.9;
104;15128695614;-14.8;2.9;-6.1;
105;15128945559;-14.7;3.3;-6.2;
106;15129203837;-14.7;3.1;-6.2;
107;15129453782;-14.8;3;-6.2;
108;15129712060;-14.1;2.3;-6.2;
109;15129970337;-13.8;2.3;-6.2;
110;15130220283;-13.7;2.2;-6.3;
111;15130478560;-13.3;2.4;-6.5;
112;15130736837;-13;3;-6.7;
113;15130995115;-12.7;3.1;-6.7;
114;15131245060;-12.6;3.1;-6.9;
115;15131503338;-12.3;3;-7;
116;15131753283;-12.1;2.9;-7;
117;15132011561;-12.2;3;-7;
