ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;10873853293;6.9;1.3;0.1;
1;10874111571;7;1.2;0.1;
2;10874369848;7;1.7;0;
3;10874628125;7.1;1.8;-0.1;
4;10874878071;7.1;3.3;-0.2;
5;10875128017;7.2;4;-0.6;
6;10875369631;6.9;3.5;-0.5;
7;10875627908;6.7;1.3;0;
8;10875869522;6.5;-0.6;0.6;
9;10876136131;6.6;-2.4;0.7;
10;10876394409;6.6;-12.1;-1.3;
11;10876652686;6.7;-26.9;-0.8;
12;10876910963;1.7;-40.6;1;
13;10877152577;-4.8;-59.6;6;
14;10877410855;-29.8;-77.2;28;
15;10877669132;-152.6;-65.7;149.7;
16;10877927409;-167.8;-46.6;164.2;
17;10878185686;-176.1;-27;170.6;
18;10878435632;-179.7;-10.6;172.2;
19;10878685578;177.7;-4.5;171.3;
20;10878943855;176.3;-4;170.6;
21;10879202132;176.5;-6.7;168.8;
22;10879452078;-175.9;-43.7;171.5;
23;10879710356;-164.5;-82.9;161.1;
24;10879968633;13;-57;-17.4;
25;10880218579;14;-29.1;-18.4;
26;10880476856;10.8;-20.1;-18.8;
27;10880718470;10.6;-13.2;-17.2;
28;10880976747;5.9;-10.9;-15.1;
29;10881251688;2.3;-9.3;-10;
30;10881509965;-0.8;-7.3;-7.7;
31;10881759911;-2.1;-3.5;-1.6;
32;10882018188;-3;13.7;-1.6;
33;10882268134;-2.6;33.5;-5.1;
34;10882534742;-2.6;52.5;-3.3;
35;10882776357;-11.5;72.5;-10.9;
36;10883034634;-89.4;86.9;-85.3;
37;10883292911;179.7;79.7;-175.9;
38;10883542857;-173.8;78.7;-172.1;
39;10883801134;169.6;77.1;169.5;
40;10884051080;162.4;79;164.3;
41;10884309357;167.1;81.4;168.5;
42;10884567635;149.2;82.5;153.2;
43;10884834243;145.5;83;151.6;
44;10885075858;169.6;80.6;174.1;
45;10885342466;-172.7;71.3;-169.6;
46;10885600744;-169.2;70.1;-166;
47;10885850689;-168.7;76.6;-163.7;
48;10886100635;-15.6;84.9;-15.2;
49;10886367244;9.6;79.2;8;
50;10886617190;9.9;74;8.6;
51;10886867135;9.7;61.7;8.3;
52;10887133744;7.1;34.7;4.1;
53;10887383690;7.6;14.7;2.6;
54;10887633636;7.1;8.2;3.6;
55;10887900245;8.6;-3.9;-1;
56;10888150190;7.4;-7.2;-0.4;
57;10888408468;5.2;-7.3;-0.2;
58;10888666745;-0.5;-8.2;0.8;
59;10888916691;-1.2;-8.1;0.5;
60;10889174968;0;-7.4;-1.7;
61;10889433245;-1.3;-6.3;-1.4;
62;10889691522;-7.9;-11.9;-2.2;
63;10889941468;-12.4;-12.7;-2.6;
64;10890199745;-16.8;-12.8;-2.7;
65;10890441360;-20.3;-11.1;-2.7;
66;10890707969;-31.1;-9.9;-0.4;
67;10890966246;-34.2;-7.7;-1.7;
68;10891216192;-31.8;9.2;-9.1;
69;10891474469;-19.8;18.5;-8.8;
70;10891732746;-13.4;26.9;-5.9;
71;10891982692;-5.8;33;-2.9;
72;10892240969;-6.9;45.6;-4.6;
73;10892499246;-15.9;70.7;-15.6;
74;10892740861;-139.4;82.6;-139;
75;10893015801;-151.2;80.3;-149.5;
76;10893257415;-145.1;85.6;-142.8;
77;10893515692;-17.7;84.7;-19.4;
78;10893782301;-2.4;72.7;-8;
79;10894023915;-9.5;69;-13.3;
80;10894282193;-15;67.7;-20.8;
81;10894548802;-134.3;73;-134.5;
82;10894782084;-156.1;47.5;-153.8;
83;10895048693;-167.3;30;-163.5;
84;10895306970;-170.6;17.1;-163.2;
85;10895565248;-172.8;10.1;-163.9;
86;10895823525;-178.8;13;-163.9;
87;10896081802;-171.8;14.1;-165.3;
88;10896331748;-167.5;15.1;-165.6;
89;10896581694;-161.6;17.6;-169.3;
90;10896839971;-152.2;23.2;-176.2;
91;10897081585;-149.1;27.1;179.1;
92;10897348194;-148.3;28.5;178.6;
93;10897614803;-150.3;43;-170.9;
94;10897864748;-84.1;84.6;-91.7;
95;10898123026;6.1;45.1;10.2;
96;10898372972;4.4;27.4;16.2;
97;10898622917;-1.9;10;15.8;
98;10898881195;-5.2;-1.4;13.1;
99;10899139472;-8.4;-20.2;9.8;
100;10899389418;-5.5;-18.1;9.5;
101;10899647695;-6.7;-25.4;10.1;
102;10899897641;-10.5;-38.1;9.2;
103;10900155918;-13.9;-47.2;8.2;
104;10900405864;-14.7;-43.1;3.1;
105;10900672472;-13.1;-30.4;-0.8;
106;10900922418;-11.5;-9.3;-0.5;
107;10901180695;-9.8;-5.7;0;
108;10901430641;-10.2;-6.1;-0.4;
109;10901697250;-22.4;-17.5;0.8;
110;10901947196;-23.5;-31;3.1;
111;10902197141;-26.4;-31.6;4.3;
112;10902463750;-22.7;-29.5;4;
113;10902713696;-20.6;-27.3;3.7;
114;10902971973;-17;-20.9;2.2;
115;10903213588;-13.3;-18;1.1;
116;10903480196;-11;-15.4;0.5;
117;10903738474;-6.7;-7.7;-0.7;
