ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;618939257467;14.4;-2.6;0.1;
1;618939515744;14.1;-2.8;0.1;
2;618939774022;9.1;-5.2;0;
3;618940032324;0.8;-11.3;-0.5;
4;618940273938;-6.5;-15.4;-0.5;
5;618940515552;-10.2;-17;-0.6;
6;618940765448;-10.9;-16.6;-0.9;
7;618941032107;-11.5;-17.2;-0.3;
8;618941282053;-12.6;-17.8;-0.3;
9;618941540330;-13.6;-17.6;-0.3;
10;618941798607;-13.8;-17.6;-0.1;
11;618942056885;-13.3;-17.7;0.2;
12;618942315162;-14.7;-20.3;0.6;
13;618942573439;-18.4;-25.2;1.2;
14;618942815053;-20.9;-26.2;1.7;
15;618943073331;-24.4;-26.3;1.6;
16;618943331608;-27;-27;2.5;
17;618943581554;-27.7;-25.8;3.2;
18;618943839831;-27.1;-23.1;2.6;
19;618944106440;-26.6;-19.3;2.1;
20;618944348054;-26.7;-16.9;3.3;
21;618944606331;-28.2;-18.3;4.8;
22;618944864609;-27.8;-22.1;4.6;
23;618945114554;-27.5;-24.5;3.3;
24;618945372832;-30.6;-23.8;3.4;
25;618945639440;-33.7;-23.5;3.8;
26;618945881055;-30.7;-23.1;3.3;
27;618946139157;-24.9;-23.7;3;
28;618946397434;-20.1;-23.7;2.3;
29;618946639123;-16;-23.9;1.7;
30;618946905732;-15.1;-24.3;1.8;
31;618947147346;-14.2;-25.4;2.1;
32;618947413955;-14.1;-25.8;2;
33;618947672232;-15;-25.4;1.7;
34;618947930510;-16.9;-24.7;1.6;
35;618948180455;-18.8;-24.5;2.1;
36;618948438733;-17.9;-11.2;1.6;
37;618948697010;-18.7;6.3;0.3;
38;618948946956;-19.9;23.3;0;
39;618949213590;-18.1;31.2;-3;
40;618949463535;-17.4;37.1;-3.9;
41;618949705150;-23.6;39.6;-5.6;
42;618949971758;-28.1;41.9;-6.8;
43;618950221704;-29.5;39.9;-7.6;
44;618950479981;-28.2;34;-5.4;
45;618950738134;-26.6;15.1;-3;
46;618950996311;-27.3;-6.3;-2.3;
47;618951246307;-28.1;-30.3;0.4;
48;618951504584;-29.8;-56.9;3.9;
49;618951754555;-26.6;-69.5;1.7;
50;618952012832;-16.9;-82;-9.2;
51;618952254446;117.9;-87.3;-142.5;
52;618952521055;153.7;-78.2;-178.9;
53;618952771001;155;-68.4;178.1;
54;618953037610;156.3;-58.5;177.1;
55;618953287680;156.4;-51.8;179.5;
56;618953545958;158.4;-46.6;-178.3;
57;618953795903;162.3;-42;-177.1;
58;618954062412;163.2;-41.2;-176.5;
59;618954304026;162.7;-42.6;-176.4;
60;618954570635;161.7;-44.6;-175.9;
61;618954812249;162.8;-48.3;-175.2;
62;618955078858;165.4;-41.8;-174.6;
63;618955337135;171.3;-35.3;-172.1;
64;618955587081;177;-30;-172.3;
65;618955853640;-172.2;-27.4;-174.2;
66;618956103586;-165.1;-20.2;-175.3;
67;618956353556;-160.7;-16.7;-176.3;
68;618956611859;-165.3;-25.1;177.8;
69;618956870161;-174.7;-40.9;169.1;
70;618957128438;178.8;-50;168.2;
71;618957378409;179;-61.5;164.6;
72;618957636686;-146;-83.1;128.5;
73;618957878301;-34.5;-76.1;14.9;
74;618958144909;-34;-69.2;9;
75;618958394880;-44.8;-73.5;14.3;
76;618958653157;-133.5;-82.2;99.5;
77;618958911435;-159.6;-78.7;123.5;
78;618959178043;-151.9;-79.2;114.9;
79;618959419658;-93.3;-80.7;58.4;
80;618959677935;-45.9;-71.3;12.7;
81;618959936212;-25.8;-56.2;0.3;
82;618960186158;-8.8;-45.5;-4.3;
83;618960444435;-8.5;-41.8;-3.3;
84;618960694381;-8;-35;-2.8;
85;618960960990;-10.7;-29.3;-3.1;
86;618961211086;-14.1;-26.6;-3.5;
87;618961452725;-16.3;-23.9;-3.3;
88;618961727665;-17.6;-12.6;-1.9;
89;618961977611;-18.1;8.5;-3.4;
90;618962235888;-15;22.5;-6.8;
91;618962502497;-15.1;27.4;-8.8;
92;618962752443;-15.9;34.5;-10.7;
93;618963010720;-19.6;42.3;-13.6;
94;618963260666;-23.8;46.3;-16.4;
95;618963527275;-25.4;46.2;-16.3;
96;618963760557;-24.3;42.9;-13.7;
97;618964027191;-23.7;36;-11.8;
98;618964293650;-22.9;28.9;-9.9;
99;618964543596;-21.5;21.2;-8.5;
100;618964793441;-20.4;15.9;-8.8;
101;618965060050;-19.5;13.2;-9.7;
102;618965309996;-18.4;9.6;-8.7;
103;618965559967;-15.8;4.1;-8.2;
104;618965818244;-11.8;-23.9;-8.3;
105;618966076521;-11.7;-47.3;-5.9;
106;618966334798;-11.5;-54.7;-4.4;
107;618966584744;-11;-60.5;-3.7;
108;618966843046;-10;-60.8;-4.8;
109;618967109655;-11.1;-43.1;-4.5;
110;618967351269;-13.2;-12.2;-4;
111;618967609547;-12.9;4.4;-6;
112;618967859518;-13.5;12.3;-8.2;
113;618968109513;-16.4;17.9;-9.4;
114;618968384454;-19;23.9;-10.3;
115;618968634399;-21.1;29.7;-11.2;
116;618968884370;-21.8;34.5;-11.9;
