ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;7553082243;-7.9;3.3;-1.9;
1;7560630454;-7.7;3.3;-1.9;
2;7560888732;-7.7;3.3;-1.9;
3;7561147034;-7.6;3.4;-1.8;
4;7561396980;-7.6;3.9;-1.8;
5;7561655257;-7.3;4.9;-1.9;
6;7561905203;-6.9;5;-1.7;
7;7562163480;-6.5;4.6;-1.3;
8;7562421757;-6.2;4.6;-1.2;
9;7562680034;-6.1;4.5;-1.1;
10;7562938337;-8.4;2;0.3;
11;7563188282;-10.6;-5.4;3.4;
12;7563446560;-9.5;-9.2;5;
13;7563696506;-9.2;-8.9;4.8;
14;7563954783;-9.1;-8.7;4.8;
15;7564213035;-8.5;-7;4.4;
16;7564462981;-8.3;-5.7;4.1;
17;7564721258;-8.3;-5.8;4.1;
18;7564979535;-8.3;-6;4.2;
19;7565229431;-8.5;-6;4.2;
20;7565487708;-8.5;-6;4.3;
21;7565745986;-8.5;-6.1;4.2;
22;7565995931;-9.1;-5.9;4.5;
23;7566254359;-9.5;-5.7;4.6;
24;7566512561;-9.3;-5.3;4.4;
25;7566762507;-9.4;-3;3.5;
26;7567020709;-9.8;3.5;1.1;
27;7567278961;-10.4;6.9;-0.3;
28;7567528907;-10.5;8.2;-0.7;
29;7567787184;-10.5;10.1;-1.3;
30;7568045462;-10.8;12.9;-2.3;
31;7568295407;-11;13.5;-2.6;
32;7568553685;-11.1;13.7;-2.7;
33;7568811962;-11.2;14.1;-2.9;
34;7569061908;-11.4;14.4;-3.1;
35;7569320185;-11.6;15;-3.5;
36;7569578462;-11.8;15.5;-3.7;
37;7569828433;-11.9;15.8;-3.8;
38;7570086710;-12;15.6;-3.8;
39;7570344987;-12.1;15.6;-3.7;
40;7570594933;-12.2;15.8;-4;
41;7570853210;-14.1;23.4;-4.4;
42;7571111388;-16.4;28.7;-5.7;
43;7571361309;-15.8;24.7;-5.2;
44;7571619611;-14.9;21.5;-3.8;
45;7571877888;-14;20.5;-3.6;
46;7572127834;-13.7;19.5;-3.3;
47;7572386111;-13.3;18.3;-2.8;
48;7572636057;-12.6;16.1;-1.8;
49;7572894334;-12;8.9;0.1;
50;7573152686;-11.7;5.5;1.5;
51;7573411114;-11.2;-0.8;2.7;
52;7573660759;-11.8;-10.4;5.1;
53;7573919037;-12.1;-16.6;7.7;
54;7574177314;-12;-18.2;8.5;
55;7574427260;-11.4;-18.1;8;
56;7574685537;-10.6;-17.5;7.6;
57;7574935508;-10.2;-17.7;7.5;
58;7575193835;-9.1;-12.3;5.9;
59;7575452112;-9;-4.4;4.2;
60;7575702083;-9.7;3.4;2.7;
61;7575960385;-10.3;9.1;1.2;
62;7576218663;-6;12.6;1;
63;7576468658;-1.8;14.7;0.7;
64;7576727111;-0.1;16.9;0.2;
65;7576985288;-0.4;22.1;-0.4;
66;7577235084;-0.7;24.3;-0.9;
67;7577493361;-1.1;23.8;-0.9;
68;7577751638;-2.2;22.6;-0.8;
69;7578001584;-2.4;21.5;-0.8;
70;7578259861;-2.2;20.4;-0.9;
71;7578518138;-1.6;19.6;-0.9;
72;7578768084;-1.2;18.7;-0.9;
73;7579026462;-0.6;17.6;-0.6;
74;7579284789;0.4;15.5;-0.4;
75;7579534710;0.7;13.7;-0.2;
76;7579792987;0.7;11.7;0.2;
77;7580051289;0.6;10.5;0.4;
78;7580301235;0.4;9.4;0.6;
79;7580559512;-0.2;7.7;0.6;
80;7580809458;-1;6.8;0.9;
81;7581084398;-1.8;5.4;1.3;
82;7581334344;-1.9;5.3;1.4;
83;7581592596;-1.5;4.8;1.4;
84;7581850848;-1.3;3.7;1.4;
85;7582100794;-1.1;3.5;1.6;
86;7582359072;-1.2;3.4;1.5;
87;7582617349;-1.1;3.4;1.4;
88;7582867295;-1.1;3.4;1.5;
89;7583125572;-1.3;2.3;1.5;
90;7583383849;-1.6;1.7;1.4;
91;7583633795;-0.9;1.4;1.4;
92;7583892097;0.1;-4.6;1.6;
93;7584142143;1.6;-8;2.4;
94;7584400370;2.7;-12.2;2.9;
95;7584658647;3.3;-17;3.5;
96;7584916900;4.1;-20.1;3.3;
97;7585166845;3.9;-20.4;3.7;
98;7585425123;3.5;-19.6;3.8;
99;7585683400;2.3;-17.8;3.8;
100;7585933346;-1;-12.7;3.7;
101;7586191623;-4.2;-8.3;3.2;
102;7586441569;-6.6;-7.2;2.4;
103;7586699846;-8.8;-2.5;1.4;
104;7586958123;-9.1;1.1;0.5;
105;7587208069;-9.3;5.1;-0.6;
106;7587466346;-9.7;6;-1.1;
107;7587724524;-9.2;5.7;-0.9;
108;7587974469;-8.5;5.2;-0.9;
109;7588232747;-8.6;5.4;-0.8;
110;7588491024;-8.4;4.9;-0.5;
111;7588740970;-8.3;5.2;-0.5;
112;7588999247;-9.5;6.2;-0.9;
113;7589257524;-10.4;7.8;-2.1;
