ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;91212620229;5.4;-1;0;
1;91212870175;5.2;-0.4;-0.4;
2;91213128452;5.3;0.6;-0.5;
3;91213386729;5.1;-0.8;-0.7;
4;91213645007;4.8;-1.4;-0.3;
5;91213886621;4.4;-1.8;-0.4;
6;91214128235;4.3;-2.3;-0.4;
7;91214386512;4.7;-2.6;-0.1;
8;91214644790;5.6;-2;0.1;
9;91214894736;7;1.6;0.9;
10;91215161344;8.3;3.8;1.2;
11;91215419622;9;4.2;1.2;
12;91215661236;9;4.6;1.3;
13;91215919513;9.4;2.5;1.4;
14;91216169459;10.2;-7.6;0.8;
15;91216436068;10.4;-17;0.7;
16;91216694345;10.2;-23.3;0.7;
17;91216935959;9.7;-29.9;0.7;
18;91217185905;9.4;-37.9;-0.2;
19;91217452514;10.3;-45.2;-1.7;
20;91217719122;10.8;-53;-1.8;
21;91217952430;9.8;-58.5;-1.7;
22;91218219039;8.7;-59;-0.1;
23;91218477316;9;-60.8;1.3;
24;91218727262;10.5;-58.8;-0.7;
25;91218977133;10.7;-58.1;-1.5;
26;91219243742;9.3;-55.6;-0.8;
27;91219485356;7.9;-56;1.4;
28;91219751965;8.8;-58;0.7;
29;91220018398;9;-58.9;0.7;
30;91220260013;8.3;-60.4;1.2;
31;91220518290;8.5;-62.4;1.2;
32;91220776567;8.6;-64.1;1.2;
33;91221026513;7.5;-68.6;2.1;
34;91221284790;6.6;-74.3;3;
35;91221534736;6.8;-78.7;2.9;
36;91221793013;6.7;-83.1;2.9;
37;91222051290;13.1;-86.6;-3.8;
38;91222301236;118.9;-89.5;-108.9;
39;91222559514;-170.7;-83.4;-179.1;
40;91222817791;-170.1;-77;179.5;
41;91223076068;-171.2;-73;-179;
42;91223326064;-171.4;-70.3;-179;
43;91223584341;-174.7;-71;-175.6;
44;91223842618;-174.1;-71.3;-175.8;
45;91224092564;-174.1;-72.4;-175.7;
46;91224350841;-171.4;-71.8;-178.5;
47;91224609119;-169.9;-70.9;-179.7;
48;91224859064;-169.9;-67.5;-179.7;
49;91225117342;-169.8;-65.6;-179.3;
50;91225375619;-169.7;-63.4;-179.2;
51;91225625590;-169.5;-60.4;-179.5;
52;91225883867;-171.2;-57;-178.9;
53;91226133813;-170.4;-52.4;-179.7;
54;91226383758;-170.5;-46.7;-179.8;
55;91226650367;-169.5;-40.4;179.3;
56;91226916976;-170.2;-31.8;179.8;
57;91227166922;-169.9;-23.8;-179.8;
58;91227416868;-169.2;-19.4;179.9;
59;91227658482;-168.8;-14;178.7;
60;91227933447;-168.6;-7.7;177.6;
61;91228175061;-168.9;-4;178.4;
62;91228433339;-169.3;-0.9;179.3;
63;91228683284;-169.4;4.1;179.2;
64;91228949893;-169.1;10.9;179;
65;91229199839;-169.5;16.3;179.6;
66;91229458116;-170.1;21.7;179.9;
67;91229699730;-169;27.4;-179.6;
68;91229966339;-169.8;35.6;178.8;
69;91230216285;-169.2;42;-180;
70;91230491225;-170.1;50.4;-179.9;
71;91230741196;-170.9;57.6;179.5;
72;91231007830;-171.3;67;177.9;
73;91231257776;-175.4;77.8;173.4;
74;91231516053;160.7;86.6;150.2;
75;91231782662;27.2;84.7;16.3;
76;91232024276;18.2;77.5;7.1;
77;91232282553;17.4;73;5.9;
78;91232524167;15.5;69.3;3.5;
79;91232774113;14.6;66.5;2.6;
80;91233049003;13.9;63;1.6;
81;91233307281;12.4;60.5;-0.1;
82;91233548895;13.3;58;0;
83;91233815504;15.8;54.9;2.2;
84;91234057118;15.1;51.1;1.7;
85;91234315395;16;47.2;1.1;
86;91234573673;13.9;43.4;0.3;
87;91234831950;13.9;39.1;0.2;
88;91235090227;13.9;36.6;0.4;
89;91235348504;14.6;34.4;1.1;
90;91235606807;14.3;26.5;1.6;
91;91235856752;14.9;18.3;1.8;
92;91236115105;13.6;9.9;0.4;
93;91236365050;13.5;4.4;0.4;
94;91236623328;13.6;-1.4;0.2;
95;91236873273;13.5;-4.6;0.9;
96;91237131551;13.5;-7.4;1;
97;91237398210;11.7;-6.9;4.4;
98;91237648080;12;-11.4;3.6;
99;91237898026;12.1;-16.2;2.8;
100;91238156328;12.3;-21;2.2;
101;91238414606;11.8;-24.8;2.2;
102;91238664551;12.2;-27.2;1.3;
103;91238922829;13.6;-30.8;0.2;
104;91239164443;13.2;-36.2;1.1;
105;91239431052;13.5;-41;0.7;
106;91239680997;14.3;-44.5;0;
107;91239939275;15.6;-49.8;-0.9;
108;91240197552;15.8;-57.1;-1.7;
109;91240455829;14.9;-62.7;-1.1;
110;91240714106;13.3;-69.3;0.3;
111;91240964002;14;-77;-1;
112;91241222280;28.4;-84.9;-16.4;
113;91241480557;148.4;-88;-137.1;
114;91241730503;-176.9;-81.3;-172;
115;91241997111;-173.1;-74.4;-175.6;
116;91242238726;-172.3;-66.5;-176.9;
117;91242488671;-172.2;-58.3;-177.2;
